district,nodal_bank_d,as_on_31032023_eligible_operative_savings_accounts_no_of_accounts_e,"of_which,_no_of_women_accounts_f",debit_rupay_cards_coverage_total_no_of_accounts_covered_g,pct_coverag_e_h,out_of_total_no_of_women_i,pct_coverag_e_for_j,internet_banking_coverage_total_no_of_accounts_covered_k,pct_coverag_e_l,out_of_total_no_of_women_m,pct_coverag_e_for_n
Angul,UCO Bank,1425319,602899,1088504,76,398912,66,316820,22,92914,15
Balasore,UCO Bank,2517793,1166226,1899010,75,796023,68,435694,17,125523,11
Bargarh,State Bank of India,1397511,590063,1084605,78,422669,72,207858,15,63224,11
Bhadrak,UCO Bank,1736613,835036,1315432,76,589009,71,262774,15,72813,9
Boudh,Indian Bank,459598,200964,314352,68,127210,63,57716,13,17291,9
Deogarh,Central Bank of India,336626,143078,231871,69,84699,59,79655,24,24505,17
Dhenkanal,UCO Bank,1287219,596418,934544,73,383106,64,219034,17,66722,11
Gajapati,Union Bank of India,540470,245760,340176,63,147044,60,78412,15,23094,9
Jagatsinghpur,UCO Bank,1346608,587348,938636,70,362586,62,248023,18,73726,13
Jajpur,Union Bank of India,2196216,1082211,1665373,76,774206,72,424429,19,114750,11
Jharsuguda,State Bank of India,727270,308528,545761,75,210823,68,210332,29,69658,23
Kalahandi,State Bank of India,1229096,528333,881820,72,343658,65,205256,17,61357,12
Kandhamal,State Bank of India,582136,268839,397900,68,166790,62,114698,20,39734,15
Kendrapara,Punjab National Bank,1430656,607402,1086606,76,438116,72,273238,19,140341,23
Keonjhar,Bank of India,1944467,901686,1259883,65,515583,57,246985,13,66706,7
Khordha,State Bank of India,3588539,1569847,2763083,77,1241670,79,1407461,39,489607,31
Koraput,State Bank of India,1081142,479838,670387,62,258922,54,165266,15,48086,10
Malkangiri,State Bank of India,457236,202329,291499,64,120357,59,60780,13,14771,7
Mayurbhanj,Bank of India,2383628,1102419,1352682,57,508920,46,267850,11,82245,7
Nabarangpur,State Bank of India,865806,397417,519966,60,220489,55,84802,10,26190,7
Nayagarh,Canara Bank,1102757,476179,779226,71,295764,62,156895,14,48511,10
Nuapada,Canara Bank,588308,256822,366802,62,143015,56,82948,14,25124,10
Puri,Uco Bank,1789429,821934,1250378,70,527228,64,329524,18,111176,14
Rayagada,Indian Overseas Bank,855894,392939,545576,64,228251,58,111167,13,28673,7
Subarnapur,State Bank of India,604797,274276,410604,68,182495,67,85677,14,22136,8
Sundargarh,Punjab National Bank,2153444,980085,1656221,77,714235,73,577883,27,213044,22
