district,nodal_bank_d,as_on_3103_digital_coverage_for_businesses_current_accounts_total_no_of_eligible,2023_progress_as_on_29102024_eligible_operative_current_business_accounts_covere,pct_coverage_ad,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts,pct_coverage_af,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no,pct_coverage_ah,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_aj,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Angul,UCO Bank,22646,16948,75,5355,24,13397,59,22646,100.00,1804
Balasore,UCO Bank,31620,21888,69,7563,24,18988,60,31620,100.00,5027
Bargarh,State Bank of India,15131,11599,77,4209,28,7748,51,15131,100.00,2021
Bhadrak,UCO Bank,21575,15560,72,4178,19,10548,49,21575,100.00,2196
Boudh,Indian Bank,4237,3299,78,1254,30,2224,52,4237,100.00,465
Deogarh,Central Bank of India,2859,1850,65,888,31,1563,55,2859,100.00,473
Dhenkanal,UCO Bank,13034,9573,73,3196,25,7068,54,13034,100.00,1254
Gajapati,Union Bank of India,4516,3156,70,1102,24,1931,43,4516,100.00,417
Jagatsinghpur,UCO Bank,15659,9060,58,3845,25,8036,51,15659,100.00,2303
Jajpur,Union Bank of India,34516,25981,75,4597,13,16234,47,34516,100.00,2500
Jharsuguda,State Bank of India,14454,10665,74,2930,20,8150,56,14454,100.00,1095
Kalahandi,State Bank of India,11271,8392,74,2386,21,5151,46,11271,100.00,1759
Kandhamal,State Bank of India,4992,3291,66,1250,25,2029,41,4992,100.00,720
Kendrapara,Punjab National Bank,12966,8436,65,3263,25,5802,45,12966,100.00,2014
Keonjhar,Bank of India,25997,20892,80,4584,18,13048,50,25997,100.00,3572
Khordha,State Bank of India,106434,79636,75,27330,26,59237,56,106434,100.00,10397
Koraput,State Bank of India,15110,10898,72,2909,19,7724,51,15110,100.00,1416
Malkangiri,State Bank of India,4504,3060,68,594,13,2235,50,4504,100.00,637
Mayurbhanj,Bank of India,18977,12402,65,5179,27,8643,46,18977,100.00,2260
Nabarangpur,State Bank of India,6057,4018,66,830,14,2888,48,6057,100.00,635
Nayagarh,Canara Bank,8588,5524,64,2562,30,4071,47,8588,100.00,1593
Nuapada,Canara Bank,5536,3954,71,1074,19,2713,49,5536,100.00,906
Puri,Uco Bank,20908,14203,68,6473,31,10514,50,20908,100.00,2681
Rayagada,Indian Overseas Bank,8425,5617,67,2196,26,3897,46,8425,100.00,752
Subarnapur,State Bank of India,6130,4417,72,1355,22,2879,47,6130,100.00,691
Sundargarh,Punjab National Bank,35423,27788,78,6884,19,18214,51,35423,100.00,2995
