district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,4607.69,2000.1,43.4079,4535.91,4211.48,71.78,1.5825,1695.96,1670.02,304.14,17.9332,37.3896,39.654,40
Baloda Bazar,5019,3310.41,65.9576,5042.48,4717.02,-23.48,-0.4656,2935.82,2858.44,374.59,12.7593,58.2217,60.5984,40
Balrampur,2292.11,1013.55,44.2191,2381.18,2118.45,-89.07,-3.7406,955.22,837.61,58.33,6.1064,40.1154,39.5388,40
Bastar,5359.96,3527.04,65.8035,5191.25,4800.69,168.71,3.2499,3264.78,2786.1525,262.26,8.033,62.8901,58.0365,40
Bemetara,3235.86,1968.71,60.8404,3238.25,2958.11,-2.39,-0.0738,1711.63,1657.06,257.08,15.0196,52.8566,56.0175,40
Bijapur,959.57,529.65,55.1966,972.59,896.92,-13.02,-1.3387,478.7,406.46,50.95,10.6434,49.2191,45.3173,40
Bilaspur,26803.95,14219.44,53.0498,26224.65,24998.37,579.3,2.209,13409.54,11453.83,809.9,6.0397,51.1333,45.8183,40
Dantewada,2244.7,3379.39,150.5497,2435.54,2322.34,-190.84,-7.8356,3093.55,1392.57,285.84,9.2399,127.017,59.9641,40
Dhamtari,4671.02,3095.9,66.2789,4728.12,4381.29,-57.1,-1.2077,2866.42,2582.93,229.48,8.0058,60.6249,58.9536,40
Durg,30410.09,16728.77,55.0106,29815.92,28330.5,594.17,1.9928,15933.99,14192.72,794.78,4.988,53.4412,50.097,40
Gariaband,1859.31,1126.13,60.5671,1921.86,1524.77,-62.55,-3.2547,1028.96,785.21,97.17,9.4435,53.5398,51.4969,40
Gaurela-Pendra-Marwahi,1217.36,579.46,47.5997,1232.82,1130.11,-15.46,-1.254,529.5,451.12,49.96,9.4353,42.9503,39.9182,40
Janjgir-Champa,5760.24,3050.34,52.9551,5808.27,7316.28,-48.03,-0.8269,2740.04,3424.33,310.3,11.3247,47.1748,46.8043,40
Jashpur,3422.36,1624.28,47.4608,3447.69,3021.92,-25.33,-0.7347,1520.48,1279.11,103.8,6.8268,44.1014,42.3277,40
Kabirdham,2729.17,2270.69,83.2008,2804.33,2765.34,-75.16,-2.6801,1834.73,2036.36,435.96,23.7615,65.4249,73.6387,40
Kanker,3618.76,2123.65,58.6845,3532.01,3288.34,86.75,2.4561,1935.97,1676.35,187.68,9.6944,54.8121,50.9786,40
Khairagarh-Chhuikhadan-Gandai,1264.39,845.45,66.8662,1248.42,0,15.97,1.2792,598.29,0,247.16,41.3111,47.9238,0,40
Kondagaon,2011.08,1338,66.5314,2020.75,1794.65,-9.67,-0.4785,1232.58,1093.31,105.42,8.5528,60.9962,60.9205,40
Korba,10703.47,6545.75,61.1554,10601.24,10284.74,102.23,0.9643,6237.21,5355.93,308.54,4.9468,58.8347,52.0765,40
Korea,1954.19,640.94,32.7982,2029.1,5237.92,-74.91,-3.6918,1724.61,1491.61,-1083.67,-62.8357,84.9938,28.4771,40
Mahasamund,4214.85,3539.95,83.9876,4213.02,3773.22,1.83,0.0434,3190.55,2916.9,349.4,10.9511,75.7307,77.3053,40
Manendragarh-Chirmiri-Bharatpur,3544.36,2174.51,61.3513,3571.73,0,-27.37,-0.7663,1037.24,0,1137.27,109.6439,29.0403,0,40
Mohla-Manpur-Ambagarh Chowki,923.74,330.52,35.7806,946.39,0,-22.65,-2.3933,251.61,0,78.91,31.362,26.5863,0,40
Mungeli,1903.21,1270.3,66.7451,1982.27,1740.19,-79.06,-3.9884,1125.71,1055.75,144.59,12.8443,56.7889,60.6687,40
Narayanpur,735.28,330.74,44.9815,715.11,632.12,20.17,2.8205,301.38,252.37,29.36,9.7419,42.1446,39.9244,40
Raigarh,9200.82,6805.91,73.9707,9329.78,9698.28,-128.96,-1.3822,6669.93,6180,135.98,2.0387,71.4908,63.7226,40
Raipur,73018.2,81738.21,111.9422,74635.04,62755.93,-1616.84,-2.1663,81721.78,71689.93,16.43,0.0201,109.4952,114.2361,40
Rajnandgaon,6915,4211.22,60.8998,6834.63,8871.54,80.37,1.1759,3735.14,4490.43,476.08,12.746,54.6502,50.6161,40
Sakti,2432.68,1235.39,50.7831,2436.84,0,-4.16,-0.1707,1179.1,0,56.29,4.774,48.3864,0,40
Sarangarh-Bilaigarh,1825.89,1033.21,56.5867,1850.77,0,-24.88,-1.3443,934.36,0,98.85,10.5794,50.4849,0,40
Sukma,989.7,430.73,43.5213,948.14,842.77,41.56,4.3833,397.02,345.02,33.71,8.4908,41.8736,40.9388,40
Surajpur,4166.45,1616.57,38.7997,4264.54,3929.3,-98.09,-2.3001,1497.65,1295.6,118.92,7.9404,35.1187,32.9728,40
Surguja,6779.6,3572.74,52.6984,6931.2,6008.05,-151.6,-2.1872,3404.12,2911.22,168.62,4.9534,49.113,48.4553,40
