district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1043.85,457.38,43.8166,217.25,62.56,28.7963,81.76,10.41,12.7324,1342.86,530.35,39.4941
Baloda Bazar,1228.46,646.2,52.6024,364.39,170.98,46.9223,132.87,18.43,13.8707,1725.72,835.61,48.4209
Balrampur,262.6,83.62,31.8431,120,40.97,34.1417,80.6,3.82,4.7395,463.2,128.41,27.7224
Bastar,706.99,219.42,31.0358,366.57,174.24,47.5325,92.16,11.38,12.3481,1165.72,405.04,34.7459
Bemetara,1606.72,514.82,32.0417,184.99,67.91,36.7101,80.17,7.37,9.193,1871.88,590.1,31.5245
Bijapur,106.53,41.41,38.8717,6.35,6.77,106.6142,11.5,0.57,4.9565,124.38,48.75,39.1944
Bilaspur,1364.05,515.17,37.7677,2020,1694.21,83.8718,287.28,62.41,21.7245,3671.33,2271.79,61.8792
Dantewada,86.62,16.65,19.2219,52.28,20.61,39.4223,10.12,3.54,34.9802,149.02,40.8,27.3789
Dhamtari,1446.01,531.23,36.7376,322,152.63,47.4006,105,14.47,13.781,1873.01,698.33,37.2838
Durg,2904.27,651.84,22.4442,1003.86,2332.38,232.3412,185.57,79.18,42.6685,4093.7,3063.4,74.8321
Gariaband,470.45,219.99,46.7616,77.43,48.05,62.0561,84.19,2.33,2.7675,632.07,270.37,42.7753
Gaurela-Pendra-Marwahi,528.28,57.92,10.9639,220.97,27.32,12.3637,102.09,1.0,0.9795,851.34,86.24,10.1299
Janjgir-Champa,989.82,290.11,29.3094,264,172.33,65.2765,92.76,21.03,22.6714,1346.58,483.47,35.9035
Jashpur,891.67,83.09,9.3185,74.38,92.61,124.5093,60.07,11.19,18.6283,1026.12,186.89,18.2133
Kabirdham,1060.71,578.56,54.5446,130.25,84.03,64.5144,112.58,37.12,32.9721,1303.54,699.71,53.6777
Kanker,687.23,291.81,42.4618,273.49,81.62,29.8439,214.48,7.29,3.3989,1175.2,380.72,32.3962
Khairagarh-Chhuikhadan-Gandai,386.44,324.81,84.0519,23,14.77,64.2174,26.03,16.08,61.7749,435.47,355.66,81.6727
Kondagaon,428.21,125.47,29.301,78.5,53.15,67.707,45.24,4.98,11.008,551.95,183.6,33.2639
Korba,510.89,116.02,22.7094,485.51,489.78,100.8795,142.35,24.13,16.9512,1138.75,629.93,55.3177
Korea,122.72,41.13,33.5153,60.51,35.14,58.073,46.14,3.52,7.629,229.37,79.79,34.7866
Mahasamund,1978.23,576.41,29.1377,255.85,133.11,52.0266,88.53,13.84,15.6331,2322.61,723.36,31.1443
Manendragarh-Chirmiri-Bharatpur,170.61,65.21,38.2217,64.62,65.15,100.8202,45.72,2.8,6.1242,280.95,133.16,47.3963
Mohla-Manpur-Ambagarh Chowki,214.45,81.14,37.8363,22.67,7.2,31.76,29.91,14.88,49.7492,267.03,103.22,38.6548
Mungeli,684.82,200.79,29.3201,138.96,50.32,36.2119,170.62,4.2,2.4616,994.4,255.31,25.6748
Narayanpur,67,28.39,42.3731,15.42,10.71,69.4553,17.79,1.64,9.2187,100.21,40.74,40.6546
Raigarh,1047.12,223.99,21.3911,521.11,735.33,141.1084,407.99,21.77,5.3359,1976.22,981.09,49.6448
Raipur,10146.71,1955.34,19.2707,5882.65,8288.37,140.8952,1828.02,174.12,9.5251,17857.38,10417.83,58.3391
Rajnandgaon,1289.15,622.46,48.2845,199.21,345.35,173.3598,193.96,61.15,31.5271,1682.32,1028.96,61.1632
Sakti,671.54,187.7,27.9507,178.55,111.01,62.1731,53.74,10.83,20.1526,903.83,309.54,34.2476
Sarangarh-Bilaigarh,535.27,142.67,26.6538,234.98,34.59,14.7204,30.83,3.17,10.2822,801.08,180.43,22.5233
Sukma,109.7,22.09,20.1367,17.78,9.83,55.2868,6.63,2.08,31.3725,134.11,34,25.3523
Surajpur,629.22,143.99,22.8839,87.65,99.64,113.6794,86.08,7.53,8.7477,802.95,251.16,31.2797
Surguja,636.29,201.66,31.6931,278.55,354.48,127.259,34.69,18.18,52.407,949.53,574.32,60.4847
