district,Tot (PS) Amt Disb MSME,(PS) No. Tot MSME Disb,Amt MSMEs under Others,A/C MSMEs under Others,Amt WC KVIC,KVIC A/C WC,Amt KVIC TL,TL A/C KVIC,Amt WC Medium,um A/C WC Medi-,TL Amt Medium,um A/C TL Medi-,WC Small Amt,WC Small A/C,Amt Small TL,TL A/C Small,WC Micro Amt,A/C WC Micro,TL Amt Micro,A/C TL Micro
East Garo Hills,226.79,42,0,0,0,0,0,0,0,0,0,0,13.4,1,40.19,2,43.3,10,129.9,29
East Khasi Hills,3942.43,870,203.16,10,8.49,2,3.64,2,0,0,0,0,170.44,23,650.69,46,1190.69,456,1715.32,331
North Garo Hills,44136.01,4668,1503.42,178,49.44,26,57.18,25,1578.72,9,3530.9,23,7173.19,119,8891.87,219,7435.27,1577,13916.02,2492
Ri Bhoi,337.99,270,52.6,13,0,0,0,0,0,0,0,0,7.77,6,13.87,4,72.81,63,190.94,184
South Garo Hills,19982.84,1781,316.91,46,19.35,25,15.54,13,1160,4,3480,11,2210.85,49,6676.54,114,1822.5,595,4281.15,924
West Garo Hills,500.21,261,16.64,9,0,0,18.76,14,0,0,0,0,20.81,1,62.48,5,255.53,156,125.99,76
West Khasi Hills,2269.44,1577,3.06,7,4.18,4,10.12,5,0,0,0,0,344.37,26,156.54,21,781.73,599,969.44,915
