district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Term No Loan,Crop Amt,Crop No
East Garo Hills,1315.63,3675,0,0,348.45,1365,13.73,32,953.45,2278
East Khasi Hills,13213.7,6162,9439.53,116,1080.89,816,205.35,360,2487.93,4870
North Garo Hills,1944.28,4803,19.65,11,488.28,1709,0,0,1436.35,3083
Ri Bhoi,8294.66,15731,88.15,21,444.23,1796,204.46,786,7557.82,13128
South Garo Hills,753.16,2345,0,0,414.18,1291,6.22,20,332.76,1034
South West Garo Hills,1877.28,5403,0,0,503.85,1912,9.64,39,1363.79,3452
South West Khasi Hills,228.18,527,0,0,50.47,119,7.82,8,169.89,400
West Garo Hills,3116.48,8452,0,0,715.6,2782,111.6,295,2289.28,5375
West Khasi Hills,2228.7,4459,2,2,112.43,561,69.45,126,2044.82,3770
