district,Agri Total Amount O/S,Agri No. Total O/S,Ancillary Amt,Ancillary No,Agri Infra Amt,Agri No Infra,Term Farm Amt Loan Credit,Loan Term Credit Farm No,Crop Farm Amt Credit,Crop Credit Farm No
East Garo Hills,5406.43,5365,0,0,3620.88,1757,84.15,163,1701.4,3445
East Khasi Hills,134188.63,27986,12908.43,599,105622.02,2269,2377.76,3188,13280.42,21930
North Garo Hills,3827.24,6112,14.89,23,1670.42,1880,7.73,20,2134.2,4189
Ri Bhoi,24799.4,32420,2441.22,990,4842.18,2773,642.6,2188,16873.4,26469
South Garo Hills,2465.72,2788,1.71,2,1842,1367,41.18,97,580.83,1322
South West Garo Hills,4617.06,7897,6.62,1,2137.17,2478,188.06,594,2285.21,4824
South West Khasi Hills,2303.41,2956,0,0,945.02,547,26.08,92,1332.31,2317
West Garo Hills,13009.28,13973,1175.55,8,7048.57,3433,683.04,2277,4102.12,8255
West Khasi Hills,9807.15,13906,51.53,73,3063.56,1410,397.59,1044,6294.47,11379
