district,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,1,7,8
Changlang,3,0,0,0,4,19,352,378
Dibang Valley,0,0,0,0,0,20,217,237
East Kameng,0,0,0,0,47,6,78,131
East Siang,25,0,0,0,6,121,522,674
Kamle,4,0,0,0,0,0,22,26
Kra Daadi,1,0,0,0,3,63,1079,1146
Kurung Kumey,0,0,0,0,0,1,19,20
Lepa Rada,1,0,0,0,1,14,37,53
Lohit,4,0,0,1,1,32,155,193
Longding,2,0,0,0,0,8,75,85
Lower Dibang Valley,12,0,0,0,0,34,203,249
Lower Siang,2,0,0,0,3,10,51,66
Lower Subansiri,3,0,0,0,0,28,152,183
Namsai,5,0,0,0,0,19,79,103
Pakke Kessang,4,0,0,0,0,1,5,10
Papum Pare,29,4,0,0,72,373,1290,1768
Shi Yomi,0,0,0,0,0,2,10,12
Siang,0,0,0,0,0,5,12,17
Tawang,5,0,0,0,1,66,156,228
Tirap,1,0,0,0,0,15,112,128
Upper Siang,6,0,0,0,1,5,55,67
Upper Subansiri,1,0,0,0,5,44,138,188
West Kameng,6,0,0,0,2,46,341,395
West Siang,3,0,0,0,9,47,142,201
