district,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,0,0,0,0,0,3,1,4,0,0,0
Changlang,0,0,0,0,0,17,8,36,13,10,5
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,3,0,16,9,55,0,7,0
East Siang,14,0,0,0,0,37,17,6,3,11,1
Kamle,0,0,0,0,0,17,0,0,0,0,0
Kra Daadi,34,6,2,0,0,28,14,43,2,1,0
Kurung Kumey,1,0,0,0,0,54,40,16,0,5,0
Lepa Rada,60,5,0,0,0,31,19,8,1,1,0
Lohit,16,0,0,1,0,12,1,5,1,3,0
Longding,0,0,0,0,0,5,1,35,35,3,0
Lower Dibang Valley,46,7,2,0,0,2,0,2,0,1,0
Lower Siang,8,0,0,3,0,7,0,1,0,13,0
Lower Subansiri,112,15,11,2,0,104,47,99,10,3,0
Namsai,53,1,0,0,0,50,12,70,33,39,0
Pakke Kessang,21,1,1,0,0,2,0,22,1,1,0
Papum Pare,450,136,99,41,1,331,134,98,20,141,5
Shi Yomi,0,0,0,0,0,0,0,17,0,0,0
Siang,25,6,0,17,0,18,20,9,0,1,0
Tawang,7,5,0,0,0,31,3,24,0,39,0
Tirap,1,0,0,0,0,10,4,6,0,3,0
Upper Siang,4,1,0,0,0,15,6,72,0,6,0
Upper Subansiri,81,1,4,3,0,79,38,19,2,1,0
West Kameng,0,0,0,2,0,65,13,54,11,37,0
West Siang,85,1,0,2,0,31,11,34,5,2,0
