District,Inactive BC,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Anjaw,0,2499,2499,4041,13
Changlang,0,41368,39904,55831,58
Dibang Valley,0,402,372,4353,41
East Kameng,0,12067,11168,31940,19
East Siang,2,39442,36025,38370,252
Kamle,0,738,738,2283,4
Kra Daadi,0,2800,2800,3411,30
Kurung Kumey,0,2750,1790,22766,59
Lepa Rada,0,2733,2248,11720,51
Lohit,0,9602,9145,22281,207
Longding,0,10645,10975,10885,272
Lower Dibang Valley,1,7766,7679,27046,279
Lower Siang,0,15524,15524,4739,10
Lower Subansiri,2,9319,8311,26134,387
Namsai,0,17683,16267,34642,342
Pakke Kessang,0,494,494,2151,6
Papum Pare,5,48008,36310,125606,1921
Shi Yomi,0,1728,1445,5757,1
Siang,0,3746,3746,2853,3
Tawang,1,4960,2781,23006,46
Tirap,0,13358,11968,24538,48
Upper Siang,1,2626,2379,23589,11
Upper Subansiri,6,16835,13233,31957,141
West Kameng,2,12179,10782,36733,367
West Siang,0,11548,8621,27092,78
