District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Total Sector,Loans to weaker No.,Loans to weaker Amt
Anjaw,0,0,1,0,0,0,1,69,94.4
Changlang,0,1,1,0,0,0,2,186,218.66
Dibang Valley,0,0,0,0,0,0,0,23,44.74
East Kameng,0,0,11,0,0,0,11,22,16.21
East Siang,0,2,2,0,0,0,4,167,342.49
Kamle,0,0,0,0,0,0,0,49,37.3
Kra Daadi,0,0,1,0,0,0,1,130,205.26
Kurung Kumey,0,0,0,0,0,0,0,57,118.97
Lepa Rada,0,0,1,0,0,0,1,59,44.2
Lohit,0,3,0,0,0,0,3,374,463.09
Longding,0,2,0,0,0,0,2,171,213.91
Lower Dibang Valley,0,0,1,0,0,0,1,156,355.65
Lower Siang,0,1,3,0,0,0,4,119,249.49
Lower Subansiri,0,1,4,0,0,0,5,134,328.52
Namsai,0,1,0,0,0,0,1,635,407.26
Pakke Kessang,0,0,0,0,0,0,0,119,197.64
Papum Pare,0,20,22,2,0,12,56,607,8974.51
Shi Yomi,0,0,0,0,0,0,0,9,14.34
Siang,0,0,1,0,0,0,1,64,76.29
Tawang,0,0,1,0,0,0,1,173,474.31
Tirap,0,2,0,0,0,0,2,128,144.16
Upper Siang,0,0,0,0,0,0,0,84,141.22
Upper Subansiri,0,2,2,0,0,0,4,101,247.25
West Kameng,0,1,3,0,0,0,4,259,695.59
West Siang,0,0,2,1,0,0,3,120,322.29
