district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,13338.85,0.0,0.0,13338.85,3203.8,0.0,0.0,3203.8,24.02,,,24.02
Changlang,70403.57,2759.38,0.0,73162.95,17190.96,805.47,321.19,18317.62,24.42,29.19,,25.04
Dibang Valley,27263.96,2321.82,0.0,29585.78,2151.25,1468.45,131.45,3751.15,7.89,63.25,,12.68
East Kameng,260.43,25192.92,0.0,25453.35,4.35,15875.97,9.65,15889.97,1.67,63.02,,62.43
East Siang,35661.85,121663.0,0.0,157324.85,7323.66,39543.17,147.64,47014.47,20.54,32.5,,29.88
Kamle,3982.09,0.0,0.0,3982.09,1057.34,0.0,0.0,1057.34,26.55,,,26.55
Kra Daadi,6312.4,0.0,0.0,6312.4,3015.9,7100.95,2854.65,12971.5,47.78,,,205.49
Kurung Kumey,8550.62,2822.79,0.0,11373.41,3937.6,1534.53,0.0,5472.13,46.05,54.36,,48.11
Lepa Rada,25872.64,1731.04,0.0,27603.68,8229.44,1374.11,0.0,9603.55,31.81,79.38,,34.79
Lohit,7904.44,38794.16,0.0,46698.6,2728.52,13474.52,181.93,16384.97,34.52,34.73,,35.09
Longding,20934.28,0.0,0.0,20934.28,11650.09,0.0,0.0,11650.09,55.65,,,55.65
Lower Dibang Valley,3095.35,77776.35,0.0,80871.7,303.55,13016.55,72.29,13392.39,9.81,16.74,,16.56
Lower Siang,24569.31,0.0,0.0,24569.31,9004.85,0.0,0.0,9004.85,36.65,,,36.65
Lower Subansiri,15649.04,59393.73,0.0,75042.77,5774.54,22582.64,16.88,28374.06,36.9,38.02,,37.81
Namsai,29342.34,24147.58,0.0,53489.92,9199.51,7841.62,0.0,17041.13,31.35,32.47,,31.86
Pakke Kessang,3116.38,0.0,0.0,3116.38,2289.13,0.0,0.0,2289.13,73.45,,,73.45
Papum Pare,91925.65,1072816.2,0.0,1164741.85,39246.7,283779.11,43.24,323069.05,42.69,26.45,,27.74
Shi Yomi,6808.73,2046.2,0.0,8854.93,999.67,251.12,0.0,1250.79,14.68,12.27,,14.13
Siang,13482.31,0.0,0.0,13482.31,2973.46,0.0,0.0,2973.46,22.05,,,22.05
Tawang,26530.42,110404.25,0.0,136934.67,4175.36,10458.83,346.54,14980.73,15.74,9.47,,10.94
Tirap,37224.91,2271.7,0.0,39496.61,14043.77,1089.86,29.82,15163.45,37.73,47.98,,38.39
Upper Siang,32813.37,2283.95,0.0,35097.32,6270.21,658.27,24.25,6952.73,19.11,28.82,,19.81
Upper Subansiri,16420.6,30441.85,0.0,46862.45,4365.53,19998.96,924.49,25288.98,26.59,65.7,,53.96
West Kameng,110904.66,351.57,0.0,111256.23,29584.04,1336.66,317.94,31238.64,26.68,380.2,,28.08
West Siang,8284.03,66105.28,0.0,74389.31,1458.25,26790.29,94.3,28342.84,17.6,40.53,,38.1
