District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Total Ops NPA
Anjaw,0,0,0,0,0,0,0
Changlang,0,1,0,0,0,12,13
Dibang Valley,0,0,1,0,0,1,2
East Kameng,0,0,4,0,0,0,4
East Siang,0,0,2,0,0,6,8
Kamle,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0
Kurung Kumey,0,0,4,0,0,7,11
Lepa Rada,0,0,1,0,0,0,1
Lohit,0,0,1,0,0,6,7
Longding,0,0,0,0,0,0,0
Lower Dibang Valley,0,0,0,0,0,2,2
Lower Siang,0,0,0,0,0,0,0
Lower Subansiri,0,0,7,0,0,30,37
Namsai,0,0,1,0,0,3,4
Pakke Kessang,0,0,0,0,0,0,0
Papum Pare,0,38,65,4,0,379,486
Shi Yomi,0,0,1,0,0,1,2
Siang,0,0,0,0,0,0,0
Tawang,0,0,1,0,0,14,15
Tirap,0,0,0,0,0,0,0
Upper Siang,0,1,0,0,0,0,1
Upper Subansiri,0,3,4,0,0,9,16
West Kameng,0,1,6,0,0,10,17
West Siang,0,0,0,0,0,4,4
