District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,212,0,234,0,4,58,1,0,1,510
Changlang,759,61,516,0,7,206,182,0,43,1774
Dibang Valley,131,0,140,0,0,20,3,0,0,294
East Kameng,46,3,97,0,0,12,3,0,2,163
East Siang,1125,25,1015,12,29,153,606,4,1267,4236
Kamle,124,2,119,0,0,37,2,0,2,286
Kra Daadi,252,8,333,0,9,88,7,0,47,744
Kurung Kumey,96,0,10,3,13,32,144,0,23,321
Lepa Rada,351,1,234,0,67,37,6,0,2,698
Lohit,1660,13,1707,0,45,598,6,0,15,4044
Longding,716,4,286,0,23,180,772,0,42,2023
Lower Dibang Valley,843,53,714,0,70,244,445,1,3,2373
Lower Siang,330,0,286,0,12,26,81,0,9,744
Lower Subansiri,808,16,433,2,191,132,356,45,80,2063
Namsai,1210,31,934,0,49,241,1294,0,18,3777
Pakke Kessang,150,2,292,0,1,64,17,0,21,547
Papum Pare,4696,146,3541,22,202,899,7130,17,5467,22120
Shi Yomi,0,0,17,0,0,1,7,0,12,37
Siang,167,0,254,0,51,18,1,0,4,495
Tawang,380,16,713,3,17,64,714,18,10,1935
Tirap,545,3,314,0,4,161,268,0,14,1309
Upper Siang,300,0,296,0,6,69,1,0,3,675
Upper Subansiri,647,7,552,0,95,62,12,1,108,1484
West Kameng,886,17,1373,10,55,308,1165,78,31,3923
West Siang,655,7,1043,18,88,198,40,8,15,2072
