district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,0,0,0,0,0
Changlang,294,375,0,0,669
Dibang Valley,6,14,0,0,20
East Kameng,6,1406,0,0,1412
East Siang,135,685,0,2,822
Kamle,0,0,0,0,0
Kra Daadi,0,0,0,0,0
Kurung Kumey,5,31,0,0,36
Lepa Rada,57,477,0,0,534
Lohit,668,328,0,0,996
Longding,1,0,0,0,1
Lower Dibang Valley,167,143,0,0,310
Lower Siang,7,1,0,0,8
Lower Subansiri,192,765,0,0,957
Namsai,699,259,0,0,958
Pakke Kessang,0,0,0,0,0
Papum Pare,2860,1753,10,127,4750
Shi Yomi,0,0,0,0,0
Siang,6,9,0,0,15
Tawang,1,15,0,0,16
Tirap,117,1202,0,0,1319
Upper Siang,5,64,0,0,69
Upper Subansiri,73,728,0,0,801
West Kameng,49,611,0,0,660
West Siang,17,153,0,0,170
