District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,229,752.53,35,62.29
Changlang,1187,4064.84,243,562.12
Dibang Valley,392,1421,66,198.73
East Kameng,764,3562.78,108,296.24
East Siang,4145,11743.46,311,1269.92
Kamle,98,227.58,27,15.28
Kra Daadi,957,4595.15,319,834.23
Kurung Kumey,441,1467.95,40,127.97
Lepa Rada,598,1984.5,46,200.23
Lohit,1620,4370.24,266,608.2
Longding,625,1817.51,195,394.59
Lower Dibang Valley,1129,3299.67,233,487.04
Lower Siang,295,1275.68,39,136.13
Lower Subansiri,1848,6292.02,159,496.55
Namsai,1424,4264.29,331,420.1
Pakke Kessang,198,499.88,42,96.65
Papum Pare,18696,66480.72,1436,6235.2
Shi Yomi,102,302.44,16,23.25
Siang,189,724.76,24,84.1
Tawang,747,2963.79,118,399.79
Tirap,886,3391.36,124,422.06
Upper Siang,505,1485.5,63,238.37
Upper Subansiri,1287,5541.41,97,478.97
West Kameng,1754,6309.7,377,859.38
West Siang,1503,5850.22,147,640.73
