district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,1,0,0,526,90,617,0
Changlang,3,0,15,2847,1040,3905,39
Dibang Valley,5,0,1,468,394,868,50
East Kameng,0,0,80,1755,875,2710,83
East Siang,137,1,47,4674,3751,8610,203
Kamle,8,0,0,144,54,206,0
Kra Daadi,8,0,26,1034,1494,2562,36
Kurung Kumey,2,0,0,483,344,829,60
Lepa Rada,5,0,13,1043,516,1577,7
Lohit,7,1,7,2101,881,2997,33
Longding,17,0,0,1371,594,1982,0
Lower Dibang Valley,13,0,2,1466,1737,3218,52
Lower Siang,2,0,25,1011,343,1381,1
Lower Subansiri,6,0,35,2974,1475,4490,275
Namsai,19,0,5,1703,844,2571,93
Pakke Kessang,4,0,1,277,114,396,0
Papum Pare,75,5,812,16441,14067,31400,1476
Shi Yomi,0,0,1,140,91,232,27
Siang,1,0,0,400,109,510,1
Tawang,16,0,15,1562,1600,3193,90
Tirap,1,0,1,2262,832,3096,30
Upper Siang,16,0,1,908,439,1364,13
Upper Subansiri,6,0,87,2398,1069,3560,127
West Kameng,5,0,24,3410,1662,5101,54
West Siang,2,0,64,2827,1582,4475,58
