District,No. of camps conducted during the quarter,No. of rural branches in district
Anjaw,1,2
Changlang,1,7
Dibang Valley,0,2
East Kameng,2,2
East Siang,2,6
Kamle,0,1
Kra Daadi,0,1
Kurung Kumey,0,4
Lohit,6,3
Longding,0,3
Lower Dibang Valley,2,3
Lower Subansiri,0,6
Namsai,5,3
Pakke Kessang,0,1
Papum Pare,5,13
Shi Yomi,0,1
Siang,0,4
Tawang,0,6
Tirap,0,4
Upper Siang,1,7
Upper Subansiri,0,5
West Kameng,0,14
West Siang,1,11
