district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,2769,7368,638,2930,10674,1105,21,5720
Changlang,15322,47445,4043,36690,73951,14905,2032,54044
Dibang Valley,1783,3197,712,1783,4215,910,33,3599
East Kameng,3509,26249,779,4615,35310,1444,357,8481
East Siang,17966,126414,5349,38753,159246,16771,2445,59164
Kamle,601,3651,246,724,5243,418,4,1329
Kra Daadi,928,4845,241,943,7670,375,14,1885
Kurung Kumey,1439,5651,350,1525,8192,523,99,3063
Lepa Rada,2713,12099,908,2969,16560,1283,102,5784
Lohit,13948,25819,3465,17157,36184,6802,532,31637
Longding,3523,16513,696,8778,26479,2378,202,12503
Lower Dibang Valley,8016,23209,2866,12132,32157,5006,965,21113
Lower Siang,9378,65650,3168,28086,76724,11127,1691,39155
Lower Subansiri,7468,43425,3523,9255,56684,5413,382,17105
Namsai,15278,30584,4354,30336,43735,13118,2056,47670
Pakke Kessang,250,2663,81,239,3842,102,6,495
Papum Pare,36111,186165,15666,52890,238335,29017,4590,93591
Shi Yomi,411,3210,139,919,4429,256,18,1348
Siang,1462,12971,613,2665,17277,1434,195,4322
Tawang,10417,32556,4569,10382,41990,6007,441,21240
Tirap,4218,19478,1447,5677,29294,2308,153,10048
Upper Siang,3527,19053,1970,4729,25827,2925,103,8359
Upper Subansiri,7719,42073,3551,10932,56148,5002,264,18915
West Kameng,17640,51652,6900,21808,68936,10899,1295,40743
West Siang,6335,43899,2033,8871,58220,3659,633,15839
