district,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs Ac,Total MSME Disbursement
Anjaw,3,0,0,0,0,0,0,0,0,3
Changlang,28,5,1,0,0,0,0,0,2,36
Dibang Valley,0,0,1,0,0,0,0,0,0,1
East Kameng,7,0,0,0,0,0,0,0,2,9
East Siang,99,0,13,0,0,0,0,0,42,154
Kamle,3,0,1,0,0,0,0,0,0,4
Kra Daadi,11,1,1,1,0,0,0,0,2,16
Kurung Kumey,7,0,0,0,0,0,0,0,8,15
Lepa Rada,0,0,1,0,0,0,0,0,3,4
Lohit,32,6,1,0,0,0,0,0,5,44
Longding,8,0,0,0,0,0,0,0,0,8
Lower Dibang Valley,6,0,2,0,0,0,0,0,0,8
Lower Siang,13,0,2,0,0,0,0,0,13,28
Lower Subansiri,17,0,11,0,0,0,0,0,11,39
Namsai,8,0,1,0,0,0,0,0,10,19
Pakke Kessang,6,0,0,0,0,0,0,0,1,7
Papum Pare,576,122,51,16,10,2,0,1,91,869
Shi Yomi,0,0,0,0,0,0,0,0,3,3
Siang,4,0,1,0,0,0,0,0,0,5
Tawang,20,0,9,1,0,0,0,0,9,39
Tirap,9,0,1,0,0,0,0,0,1,11
Upper Siang,8,0,4,0,0,0,0,0,7,19
Upper Subansiri,27,1,1,0,0,0,0,0,11,40
West Kameng,48,0,38,0,0,0,0,0,9,95
West Siang,18,0,4,0,0,0,0,0,8,30
