District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,16,1,8,0,0,0,25
Changlang,655,23,203,8,0,0,889
Dibang Valley,16,3,10,1,0,0,30
East Kameng,194,9,30,1,0,0,234
East Siang,170,29,25,3,0,0,227
Kamle,4,2,0,0,0,0,6
Kra Daadi,65,1,6,2,0,0,74
Kurung Kumey,424,0,6,0,0,0,430
Lepa Rada,28,1,15,0,0,0,44
Lohit,81,19,66,3,0,0,169
Longding,1697,12,12,2,0,0,1723
Lower Dibang Valley,319,7,21,0,0,0,347
Lower Siang,330,16,8,1,0,0,355
Lower Subansiri,869,29,78,1,0,0,977
Namsai,126,22,1646,2,0,0,1796
Pakke Kessang,82,7,7,1,0,0,97
Papum Pare,2637,184,279,63,0,4,3167
Shi Yomi,19,0,71,0,0,0,90
Siang,13,1,5,0,0,0,19
Tawang,39,15,1402,8,0,0,1464
Tirap,1142,8,33,0,0,0,1183
Upper Siang,89,2,30,0,0,0,121
Upper Subansiri,89,10,6,0,0,1,106
West Kameng,271,36,2210,18,0,0,2535
West Siang,48,20,326,5,0,0,399
