District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,67234,0,0,0,0
Changlang,0,744466,0,5,1936,0
Dibang Valley,0,36855,0,1,1023,0
East Kameng,1349,249626,11,603,8339,0
East Siang,52446192,831559,854,3519510,29416,1
Kamle,0,49952,0,1,0,0
Kra Daadi,0,71751,0,0,0,0
Kurung Kumey,0,49217,0,2,6180,0
Lepa Rada,0,166983,0,0,1286,0
Lohit,1699,371061,0,840,1338,0
Longding,87,234092,75,81,468,0
Lower Dibang Valley,36486718,302368,69,3205913,10328,0
Lower Siang,1,197340,0,0,2,0
Lower Subansiri,73561,498237,14,24157,13696,0
Namsai,32,372443,974,554,6180,0
Pakke Kessang,0,62175,0,0,8,0
Papum Pare,139352723,2713313,6324,16774628,204010,63786
Shi Yomi,0,26917,0,0,842,0
Siang,0,90862,0,0,0,0
Tawang,25176520,218688,326,1864079,13557,0
Tirap,0,307391,0,2,512,0
Upper Siang,0,145691,0,1,3016,0
Upper Subansiri,743,317741,0,402,5247,0
West Kameng,43601,619865,375,16578,17769,0
West Siang,102338,452321,97,28992,24678,3
