district,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,6,3,3,12,16.67
Changlang,57,357,14,428,8.51
Dibang Valley,5,3,4,12,6.12
East Kameng,57,139,69,265,36.58
East Siang,250,322,100,672,12.27
Kamle,0,0,0,0,0
Kra Daadi,62,265,35,362,31.84
Kurung Kumey,76,15,23,114,59.64
Lepa Rada,62,21,19,102,20.01
Lohit,110,147,52,309,6.24
Longding,70,125,17,212,13.09
Lower Dibang Valley,79,176,43,298,7.04
Lower Siang,80,62,27,169,17.35
Lower Subansiri,90,150,201,441,27.85
Namsai,176,99,41,316,5.15
Pakke Kessang,16,26,5,47,10.7
Papum Pare,1054,1934,952,3940,27.67
Shi Yomi,0,0,0,0,0
Siang,44,7,8,59,12.49
Tawang,130,157,135,422,12.2
Tirap,35,18,18,71,15.03
Upper Siang,74,68,6,148,16.81
Upper Subansiri,157,166,60,383,35.16
West Kameng,186,311,249,746,3.64
West Siang,176,271,97,544,13.5
