District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.16,0,0,0,0,1,0.16
Changlang,218,34.2,30,43.99,6,13.9,254,92.09
Dibang Valley,0,0,3,6.03,1,9.9,4,15.93
East Kameng,68,0.2,10,2.47,17,49.96,95,52.63
East Siang,38,6.52,63,120.17,28,204.11,129,330.8
Kamle,18,1.93,5,11.2,5,2.7,28,15.83
Kra Daadi,61,12.28,12,7.46,27,33.34,100,53.08
Kurung Kumey,8,2.57,5,7.98,5,20.73,18,31.28
Lepa Rada,14,1.74,10,13.02,3,13.17,27,27.93
Lohit,43,16.15,64,108.06,27,161.47,134,285.68
Longding,11,2.58,18,18.55,5,25.84,34,46.97
Lower Dibang Valley,33,5.28,25,66.14,4,32.72,62,104.14
Lower Siang,14,4.07,31,69.41,6,36.8,51,110.28
Lower Subansiri,41,7.54,14,45.61,20,128.8,75,181.95
Namsai,12,2.21,53,162.67,16,25.22,81,190.1
Pakke Kessang,5,2.5,0,0,3,17,8,19.5
Papum Pare,383,618.5,185,422.78,138,483.97,706,1525.25
Shi Yomi,0,0,1,0.06,3,2.87,4,2.93
Siang,3,0.9,18,16.26,3,12.08,24,29.24
Tawang,45,5.53,39,88.32,16,93.67,100,187.52
Tirap,5,0.5,13,16.92,12,30.05,30,47.47
Upper Siang,25,3.83,12,28.65,3,0.14,40,32.62
Upper Subansiri,14,1.86,19,31.59,16,73.66,49,107.11
West Kameng,42,4.76,64,133.78,54,305.63,160,444.17
West Siang,16,2.52,43,65.05,11,63.23,70,130.8
