District,Target,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,20,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,20,0,0,0,0,0
East Kameng,120,0,0,0,0,0
East Siang,90,4,14,0,0,0
Kamle,40,0,0,0,0,0
Kra Daadi,70,15,34,6,2,0.07
Kurung Kumey,120,1,1,0,0,0
Lepa Rada,80,0,60,5,0,0
Lohit,80,2,16,0,0,0
Longding,0,10,0,0,0,0
Lower Dibang Valley,80,17,46,7,2,15.84
Lower Siang,80,0,8,0,0,0
Lower Subansiri,80,10,112,15,11,2.47
Namsai,130,2,53,1,0,0
Pakke Kessang,90,0,21,1,1,3.73
Papum Pare,140,23,450,136,99,22.44
Shi Yomi,20,0,0,0,0,0
Siang,70,5,25,6,0,0
Tawang,100,7,7,5,0,0
Tirap,0,0,1,0,0,0
Upper Siang,120,0,4,1,0,0
Upper Subansiri,70,1,81,1,4,4.79
West Kameng,70,5,0,0,0,0
West Siang,70,17,85,1,0,0
