District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Anjaw,1894,0,838,1056,1894,67,185.06,1756,1453,736
Changlang,46422,0,20779,25637,46416,3015,1547.58,46793,35638,13417
Dibang Valley,514,0,260,254,514,35,292.4,400,181,291
East Kameng,0,14675,6647,8024,14671,1222,778.22,11267,9883,3768
East Siang,31844,21999,24134,29696,53830,5385,2969.45,52616,34494,16040
Kamle,1422,0,525,897,1422,19,107.48,1326,368,288
Kra Daadi,2904,0,1080,1822,2902,23,208.05,3763,1844,724
Kurung Kumey,3903,0,1453,2447,3900,569,335.9,4116,2201,1651
Lepa Rada,3133,0,1252,1878,3130,299,266.51,2778,2049,911
Lohit,3478,8078,4903,6651,11554,1055,551.91,11224,6705,5365
Longding,10935,1000,4369,7565,11934,1122,513.41,11674,8225,5157
Lower Dibang Valley,2774,11711,6591,7894,14485,2180,703.31,14635,6895,7708
Lower Siang,21479,0,9884,11592,21476,901,672.54,16848,13539,2202
Lower Subansiri,5213,7504,5558,7155,12713,430,1217.85,12222,6628,4365
Namsai,13458,15399,13030,15826,28856,6408,1155.84,27406,20223,17862
Pakke Kessang,365,0,187,178,365,12,17.84,259,60,145
Papum Pare,31908,31040,28041,34896,62937,6503,3788.98,57940,36713,26706
Shi Yomi,1633,0,761,870,1631,133,244.85,2132,1270,766
Siang,4913,0,2619,2292,4911,117,501.07,3836,3391,1474
Tawang,3142,1528,1883,2785,4668,381,540.19,4238,2477,2601
Tirap,15501,0,6654,8843,15497,629,939.48,16578,10667,7514
Upper Siang,4394,0,1872,2522,4394,202,405.42,2324,1970,2952
Upper Subansiri,7796,13542,9420,11904,21324,2295,1688,21895,13719,8656
West Kameng,15506,400,7368,8535,15903,1017,1238.12,13879,8218,6108
West Siang,6609,8732,6922,8418,15340,1350,1389.85,13276,8067,7973
