District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,0,0
Changlang,0,0,0,2,37,39
Dibang Valley,0,0,0,2,48,50
East Kameng,0,0,0,3,80,83
East Siang,37,0,0,18,148,203
Kamle,0,0,0,0,0,0
Kra Daadi,0,0,1,13,22,36
Kurung Kumey,0,0,0,17,43,60
Lepa Rada,0,0,0,4,3,7
Lohit,0,0,0,7,26,33
Longding,0,0,0,0,0,0
Lower Dibang Valley,0,0,0,12,40,52
Lower Siang,0,0,0,0,1,1
Lower Subansiri,0,0,0,51,224,275
Namsai,0,0,0,15,78,93
Pakke Kessang,0,0,0,0,0,0
Papum Pare,0,1,12,508,955,1476
Shi Yomi,0,0,0,14,13,27
Siang,0,0,0,1,0,1
Tawang,1,0,0,55,34,90
Tirap,0,0,0,7,23,30
Upper Siang,1,0,0,4,8,13
Upper Subansiri,1,0,0,7,119,127
West Kameng,0,0,0,21,33,54
West Siang,18,0,0,13,27,58
