district,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,34,3,34,3,4,0,0
Changlang,722,1,722,1,36,13,5.5
Dibang Valley,13,0,13,0,0,0,0
East Kameng,185,0,185,0,55,0,0
East Siang,37,4,37,4,17,3,1.47
Kamle,10,0,10,0,0,0,0
Kra Daadi,149,4,149,4,43,2,0.05
Kurung Kumey,58,8,58,8,16,0,0
Lepa Rada,57,0,57,0,68,1,0.14
Lohit,79,1,79,1,17,1,3.09
Longding,137,0,137,0,35,35,100
Lower Dibang Valley,14,8,14,8,48,2,15.44
Lower Siang,41,0,41,0,9,0,0
Lower Subansiri,23,16,23,16,210,14,5.19
Namsai,21,0,21,1,117,33,24.5
Pakke Kessang,68,1,68,1,22,1,3.41
Papum Pare,134,53,194,110,182,21,8.01
Shi Yomi,6,0,6,0,17,0,0
Siang,66,11,66,11,34,0,0
Tawang,150,3,150,3,24,0,0
Tirap,590,1,590,1,6,0,0
Upper Siang,20,2,20,2,76,0,0
Upper Subansiri,81,13,81,13,99,5,3.38
West Kameng,155,4,155,4,54,11,6.36
West Siang,22,18,22,18,119,5,0.47
