district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,5,0,0,0
Changlang,20,14,13,0,0,0
Dibang Valley,8,6,0,0,0,0
East Kameng,50,73,0,0,0,0
East Siang,92,82,25,9,0,0
Kamle,0,0,1,0,0,0
Kra Daadi,8,27,1,0,0,0
Kurung Kumey,17,0,0,0,0,0
Lepa Rada,45,12,44,2,0,2
Lohit,19,5,3,0,0,0
Longding,1,3,4,0,0,0
Lower Dibang Valley,7,2,3,0,0,0
Lower Siang,44,14,58,0,0,0
Lower Subansiri,86,33,24,0,0,1
Namsai,18,3,6,0,0,0
Pakke Kessang,19,1,20,1,0,1
Papum Pare,730,859,367,71,0,52
Shi Yomi,1,0,2,0,0,0
Siang,4,0,4,0,0,0
Tawang,18,14,3,0,0,0
Tirap,19,1,7,0,0,0
Upper Siang,6,1,2,0,0,0
Upper Subansiri,82,84,13,0,0,0
West Kameng,55,23,36,0,0,3
West Siang,93,72,9,3,1,3
