District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,40,0,0,0,0,0,0,8,0,0,48
Changlang,111,0,0,0,2,0,0,17,0,0,130
Dibang Valley,21,0,0,0,0,0,0,1,0,0,22
East Kameng,6,0,0,0,2,0,0,0,0,1,9
East Siang,184,3,0,0,2,15,0,53,0,5,262
Kamle,29,0,0,0,0,0,0,5,0,0,34
Kra Daadi,75,0,0,0,0,0,0,9,0,1,85
Kurung Kumey,24,0,0,0,4,0,0,24,0,0,52
Lepa Rada,16,0,0,0,1,0,0,28,0,0,45
Lohit,227,0,0,0,0,0,0,20,0,10,257
Longding,123,0,0,0,0,0,0,21,0,0,144
Lower Dibang Valley,127,0,0,0,6,1,0,22,0,0,156
Lower Siang,107,0,0,0,4,0,0,56,0,0,167
Lower Subansiri,113,0,0,0,14,0,0,18,0,10,155
Namsai,163,0,0,0,0,0,0,49,0,8,220
Pakke Kessang,109,0,0,0,0,0,0,1,0,0,110
Papum Pare,236,2,5,0,27,24,3,90,0,26,413
Shi Yomi,6,0,0,0,0,0,0,0,0,0,6
Siang,60,0,0,0,3,0,0,35,0,0,98
Tawang,65,0,0,0,0,0,0,53,0,4,122
Tirap,77,0,0,0,0,0,0,0,0,0,77
Upper Siang,76,0,0,0,2,0,0,27,0,0,105
Upper Subansiri,71,0,0,0,4,0,0,12,0,8,95
West Kameng,155,0,0,0,0,0,0,21,0,21,197
West Siang,77,1,0,0,1,9,0,47,0,0,135
