district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13274,3018,4356
Changlang,122638,45553,58417
Dibang Valley,7228,4042,4649
East Kameng,64120,27499,30169
East Siang,200999,78642,39178
Kamle,6537,1741,2306
Kra Daadi,9041,2600,3157
Kurung Kumey,27757,21718,20643
Lepa Rada,25296,13880,10076
Lohit,49926,19341,18521
Longding,32380,7657,11626
Lower Dibang Valley,56965,29447,23477
Lower Siang,92830,17422,5012
Lower Subansiri,74248,33653,23405
Namsai,74617,47448,40117
Pakke Kessang,4246,1703,1293
Papum Pare,391797,187089,172678
Shi Yomi,8873,5305,4931
Siang,19913,8591,3557
Tawang,54585,18875,19945
Tirap,53720,22335,20762
Upper Siang,41998,28766,20806
Upper Subansiri,87455,46675,31958
West Kameng,80931,31391,29472
West Siang,83509,42806,25192
