District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Anjaw,1,9.5,11,56.88,108,288.27,621,2246.51
Changlang,19,38.87,192,532.36,395,1154.58,2895,9283.07
Dibang Valley,0,0,11,57.37,53,270.65,655,2367.87
East Kameng,5,43.07,27,143,168,690.61,3343,8606.59
East Siang,11,62.37,146,445.28,742,2679.96,7900,30915.57
Kamle,0,0,7,5.9,76,97.54,240,684.12
Kra Daadi,14,57,39,277.61,230,859.54,1324,6297.82
Kurung Kumey,0,0,6,50.29,20,107.87,893,2565.05
Lepa Rada,1,1,8,25.48,152,514.11,2582,8725.05
Lohit,10,25.11,64,228.43,548,1457.7,4170,11327.45
Longding,2,7.43,19,112.66,28,165.71,256,1380.5
Lower Dibang Valley,18,62.29,132,333.75,185,900.64,2086,6422.22
Lower Siang,2,24.5,45,209.24,185,401.48,1051,3928.77
Lower Subansiri,6,47.91,90,378.4,294,1250.51,6317,19344.56
Namsai,24,17.89,89,329.35,643,1112.62,3027,10641.9
Pakke Kessang,5,7.08,23,85.02,137,321.09,490,1297.44
Papum Pare,43,288.84,593,2424.82,3318,24025.55,29059,179911.56
Shi Yomi,0,0,3,20.68,34,127.59,328,1028.91
Siang,0,0,7,29.96,137,291.51,770,2699.74
Tawang,4,26,51,179.57,275,1228.26,2191,9135.08
Tirap,5,24.33,36,143.48,175,627.3,2061,6536.35
Upper Siang,1,2,31,149.17,198,528.55,1577,4623.47
Upper Subansiri,9,42,59,224.18,352,1725.74,4789,18440.37
West Kameng,12,57.68,104,406.87,452,1986.3,4630,16469.16
West Siang,7,77.65,55,299.23,510,2323.87,5515,24339.8
