District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,218,9,0,0,227
Changlang,810,491,0,0,1301
Dibang Valley,154,66,0,0,220
East Kameng,486,1678,0,0,2164
East Siang,1230,1023,0,78,2331
Kamle,0,35,0,1,36
Kra Daadi,322,49,0,1,372
Kurung Kumey,172,386,0,0,558
Lepa Rada,421,671,0,0,1092
Lohit,1605,479,0,0,2084
Longding,590,62,0,0,652
Lower Dibang Valley,708,295,0,0,1003
Lower Siang,362,170,0,0,532
Lower Subansiri,1042,2063,1,1,3107
Namsai,1994,467,0,0,2461
Pakke Kessang,331,11,0,0,342
Papum Pare,4732,3266,0,364,8362
Shi Yomi,1,92,0,0,93
Siang,180,142,0,0,322
Tawang,398,231,0,5,634
Tirap,597,1308,0,0,1905
Upper Siang,331,329,0,0,660
Upper Subansiri,804,990,0,4,1798
West Kameng,757,950,1,4,1712
West Siang,753,512,3,3,1271
