District,Target,Sanctioned,Disbursed,Outstanding,NPA,PMEGP NPA Amt. %
Anjaw,4,0,0,3,1,5.42
Changlang,6,0,0,17,8,28.5
Dibang Valley,5,0,0,0,0,0
East Kameng,8,0,0,16,9,30.87
East Siang,12,0,0,37,17,40.53
Kamle,5,0,0,17,0,0
Kra Daadi,5,1,1,28,14,30.86
Kurung Kumey,5,0,0,54,40,72.94
Lepa Rada,5,0,0,31,19,43.86
Lohit,7,0,0,12,1,5.51
Longding,5,4,4,5,1,34.06
Lower Dibang Valley,8,3,3,2,0,0
Lower Siang,5,0,0,7,0,0
Lower Subansiri,20,1,1,104,47,32.23
Namsai,10,0,0,50,12,30.63
Pakke Kessang,4,2,2,2,0,0
Papum Pare,60,61,60,331,134,26.48
Shi Yomi,5,0,0,0,0,0
Siang,5,0,0,18,20,105.9
Tawang,10,0,0,31,3,2.06
Tirap,6,0,0,10,4,34.88
Upper Siang,5,0,0,15,6,29.89
Upper Subansiri,10,3,3,79,38,42.91
West Kameng,10,5,5,65,13,4.69
West Siang,10,0,0,31,11,27.32
