district,Sishu,None,Kishore,None,Tarun,None
EAST GARO HILLS Total,1,10.64,30,10.64,4,10.64
EAST JAINTIA HILLS Total,10,23.98,18,23.98,7,23.98
EAST KHASI HILLS Total,177,480.95,258,480.95,102,480.95
NORTH GARO HILLS Total,0,25.05,17,25.05,7,25.05
RI BHOI Total,36,74.01,128,74.01,29,74.01
SOUTH GARO HILLS Total,4,19.09,18,19.09,3,19.09
SOUTH WEST GARO HILLS Total,3,27.89,53,27.89,10,27.89
SOUTH WEST KHASI HILLS Total,0,11.9,9,11.9,3,11.9
WEST GARO HILLS Total,78,224.07,161,224.07,55,224.07
WEST JAINTIA HILLS Total,31,104.93,99,104.93,29,104.93
WEST KHASI HILLS Total,6,40.3,36,40.3,10,40.3
