district,USSD Amt.,USSD A/C,& Amt. Cards Credit) (Debit,& A/C Cards Credit) (Debit,IMPS Amt.,IMPS A/C,Code Bharat Amt. QR,A/C QR Bharat Code,haar BHIM Amt. Aad-,haar BHIM A/C Aad-,Amt. BHIM/UPI,A/c BHIM/UPI
East Garo Hills,0,0,155.75,5158,132623.26,553761,0,0,0,0,119823.08,3219675
East Khasi Hills,0,7506,412144.99,366506,2262578.26,10759129,11.48,395,2.57,17,1400286.03,43918830
North Garo Hills,0,0,57.1,1108,5.36,77,0,0,0,0,1907.38,161261
Ri Bhoi,0,4825,201118.3,35477,395635.71,1731533,0.06,1,2,2,322357.82,9576867
South Garo Hills,0,0,30.21,1497,8.65,126,0,0,0,0,853.99,79067
South West Khasi Hills,0,0,987.3,23589,16.14,199,0,0,0,0,563.78,27982
West Garo Hills,0,0,1171.19,26764,250247.86,1366692,0.01,1,170410,36,246229.28,7431998
West Khasi Hills,0,0,857.91,27044,100658,617909,0,0,0,0,72410.97,3533949
