District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other MSME No.,Other MSME Amt,MSME Total O/S No.,MSME Total O/S Amt
Dimapur,8565,34906.33,950,17031.93,189,7901.32,224,1165.51,9928,61005.09
Kiphire,519,907.07,3,14.12,0,0.00,2,5.81,524,927.00
Kohima,3364,12509.35,340,6086.89,189,1222.73,119,367.24,4012,20186.21
Longleng,328,522.1,1,9.94,0,0.00,34,51.04,363,583.08
Mokokchung,1678,4344.3,108,1263.57,27,43.89,50,208.83,1863,5860.59
Mon,817,1402.52,3,72.23,0,0.00,28,59.82,848,1534.57
Noklak,137,153.97,1,7.56,0,0.00,4,15.91,142,177.44
Peren,393,781.9,4,47.39,0,0.00,16,44.05,413,873.34
Phek,548,1374.03,18,121.20,0,0.00,11,33.56,577,1528.79
Tuensang,591,876.65,5,44.07,0,0.00,6,10.4,602,931.12
Wokha,610,2223.91,35,757.68,77,247.90,54,96.62,776,3326.11
Zunheboto,731,1168.2,21,269.36,0,0.00,124,272.6,876,1710.16
