District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Dimapur,2537,4828.79,204,2131.48,24,140.41,10,51.85,19,36.52,2794,7189.05
Kiphire,35,50.58,1,1.60,0,0,0,0.00,0,0,36,52.18
Kohima,772,1711.38,75,971.70,19,45.26,8,31.28,12,22.01,886,2781.63
Longleng,14,11.73,0,0.00,0,0,0,0.00,0,0,14,11.73
Mokokchung,222,888.62,27,92.52,0,0,0,0.00,0,0,249,981.14
Mon,131,212.68,0,0.00,0,0,0,0.00,0,0,131,212.68
Noklak,5,0.36,0,0.00,0,0,0,0.00,0,0,5,0.36
Peren,122,278.12,0,0.00,0,0,0,0.00,4,8.99,126,287.11
Phek,251,624.03,3,17.54,0,0,0,0.00,3,12.98,257,654.55
Tuensang,18,25.9,0,0.00,0,0,0,0.00,0,0,18,25.9
Wokha,90,178.32,0,0.00,0,0,25,41.92,0,0,115,220.24
Zunheboto,29,56.58,4,20.37,0,0,6,21.54,0,0,39,98.49
