District,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Dimapur,0,0.00,0,0,14,330.93,431,907.06,1745,5109.11,2190,6347.10
Kiphire,0,0.00,0,0,0,0.00,43,97.35,19,2.96,62,100.31
Kohima,2,0.90,0,0,7,226.07,338,692.85,366,497.21,713,1417.03
Longleng,0,0.00,0,0,0,0.00,0,0.00,5,0.44,5,0.44
Mokokchung,0,0.00,0,0,0,0.00,268,678.91,77,47.26,345,726.17
Mon,0,0.00,0,0,0,0.00,114,150.37,24,37.76,138,188.13
Noklak,0,0.00,0,0,0,0.00,0,0.00,17,8.15,17,8.15
Peren,0,0.00,0,0,0,0.00,66,149.92,30,22.28,96,172.20
Phek,0,0.00,0,0,0,0.00,148,193.58,30,30.19,178,223.77
Tuensang,0,0.00,0,0,0,0.00,46,43.25,30,21.97,76,65.22
Wokha,1,1.47,0,0,0,0.00,164,277.99,82,61.06,247,340.52
Zunheboto,0,0.00,0,0,0,0.00,135,319.26,9,9.80,144,329.06
