district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Dimapur,7777,7196.97,2775,5407.18,52,811.65,961,1724.45,11565,15140.25
Kiphire,1335,740.34,101,120.88,0,0,2,0.54,1438,861.76
Kohima,3464,2610.06,930,1599.99,35,729.24,437,731.05,4866,5670.34
Longleng,454,235.31,50,24.11,0,0,1,1.79,505,261.21
Mokokchung,7949,5506.15,1686,2306.82,3,14.92,133,639.24,9771,8467.13
Mon,790,358.54,254,366.8,0,0,26,36.89,1070,762.23
Noklak,411,197.65,34,41.15,0,0,6,3.36,451,242.16
Peren,3694,2525.41,332,388.38,0,0,0,0,4026,2913.79
Phek,4293,2603.73,391,490.54,0,0,0,0,4684,3094.27
Tuensang,2793,1406.76,307,383.85,0,0,0,0,3100,1790.61
Wokha,2289,1326.99,382,519.53,0,0,0,0,2671,1846.52
Zunheboto,2779,1343.48,211,317.61,0,0,0,0,2990,1661.09
