district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Dimapur,411,791.86,811,1865.79,6553,10563.13,20848,49996.68
Kiphire,0,0,1,7.08,1,3.2,2,11.79
Kohima,81,250.6,145,378.73,3456,7796.49,9996,26472.07
Longleng,1,1.2,2,1.34,1,10,3,10.86
Mokokchung,10,30.74,24,76.89,537,1865.82,5413,10703.86
Mon,6,16.77,17,47.47,170,574.89,1036,2636.71
Noklak,1,8,3,9.88,1,2.4,1,2.34
Peren,1,10.2,2,19.12,2,12.4,16,94.26
Phek,3,10.82,8,40.13,11,41.54,42,208.26
Tuensang,3,15.73,5,27.65,8,55.61,16,101.79
Wokha,19,62.06,41,148.75,229,963.64,1432,4053.44
Zunheboto,8,29.33,14,33.02,89,274.94,519,1246.49
