district,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Dimapur,2685,1513.21,850,2053.9,18,7.77,68,113,3621,3687.88
Kiphire,124,56.23,20,35.38,0,0.00,2,0.54,146,92.15
Kohima,1458,891.74,306,514.01,22,37.70,66,65.54,1852,1508.99
Longleng,74,12.99,4,2.72,0,0.00,0,0,78,15.71
Mokokchung,1376,711.48,300,652.28,3,0.98,31,58.53,1710,1423.27
Mon,148,26.12,92,130.02,5,1.65,13,20.36,258,178.15
Noklak,11,4.95,2,0.22,0,0.00,6,3.36,19,8.53
Peren,1589,1008.5,64,87.21,0,0.00,0,0,1653,1095.71
Phek,1461,636.23,112,189.84,0,0.00,0,0,1573,826.07
Tuensang,244,99.29,78,104.61,0,0.00,0,0,322,203.90
Wokha,493,171.83,69,78.29,0,0.00,3,3.66,565,253.78
Zunheboto,1119,302.76,49,66.14,0,0.00,0,0,1168,368.90
