district,Enrol- ment under PMJJBY,Eligible cases under PMJJBY,Rene wals under PMJJBY,Enrol ment under PMSBY,Eligible cases under PMSBY,Rene wals under PMSBY,Enrol- ment under APY,Total Enro- lment No.
Dimapur,42425,344390,19562,123651,465946,65144,10431,176507
Kiphire,5863,11538,2750,15157,20871,7578,1066,22086
Kohima,16014,163118,7467,60451,219614,34188,4405,80870
Longleng,3739,8246,1136,9408,15999,4600,163,13310
Mokokchung,12295,48295,5358,35860,77537,19930,1717,49872
Mon,9944,30502,3544,29423,55329,14539,1037,40404
Noklak,601,5868,336,1907,9977,1314,35,2543
Peren,2810,15644,1389,9599,27464,4998,222,12631
Phek,4318,27782,1613,16051,45353,8746,354,20723
Tuensang,8041,25818,4048,22716,46538,14618,470,31227
Wokha,8526,27585,4144,25680,43528,13583,988,35194
Zunheboto,6547,20575,2566,18746,36111,10345,618,25911
