District,Sponsor Bank,NGO Allotted,Block Identified for setting up CFL,Adjacent Block 1,Adjacent Block 2
Chumoukedima,BOB,,,,
Kiphire,SBI,,,Khongsa,NA
Kohima,SBI,,,Sechu,Zakhama
Longleng,SBI,,,Sakshi,Longleng
Mokokchung,SBI,,,,Kubolong
Mon,SBI,,,Wakching,Naginimora
Niuland,SBI,,,,
Noklak,SBI,,,NA,NA
Peren,SBI,,,Jalukie,NA
Phek,SBI,,,Weziho,
Shamator,SBI,,,Sansangyu,Chessore
Tseminyu,SBI,,,Botsa,Tseminyu
Tuensang,SBI,,,Chare,Noksen
Wokha,SBI,,,Chukitong,Wozhuro
Zunheboto,SBI,,,,
