District,Agri (PS) Target No.,Agri (PS) Target Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Other PS Target No.,Other PS Target Amt,Total (PS) Target No.,Total (PS) Target Amt
Chumoukedima,3319,5106.66,1685,9353.99,820,2469.03,5824,16929.68
Dimapur,2245,4372.49,2681,54274.00,1024,7536.80,5950,66183.29
Kiphire,1840,1807.70,668,1250.00,136,429.37,2644,3487.07
Kohima,4743,6477.51,4690,16000.00,1930,6213.75,11363,28691.26
Longleng,1141,1458.73,131,800.10,243,429.33,1515,2688.16
Mokokchung,8750,10048.12,1897,6060.00,443,2119.08,11090,18227.20
Mon,1929,3283.86,764,3820.00,142,1342.55,2835,8446.41
Niuland,649,1001.51,152,908.00,96,379.54,897,2289.05
Noklak,0,923.04,0,704.80,0,358.34,0,1986.18
Peren,1680,3444.56,200,1820.00,149,489.50,2029,5754.06
Phek,4468,3588.20,474,4400.01,433,1090.20,5375,9078.41
Shamator,0,1125.63,0,678.56,0,285.40,0,2089.59
Tseminyu,2286,2598.89,1020,4999.90,790,2214.51,4096,9813.30
Tuensang,0,3157.69,0,1121.50,0,735.50,0,5014.69
Wokha,2881,3326.55,1405,3143.10,1784,3722.60,6070,10192.25
Zunheboto,1349,2325.59,1155,4381.60,495,2788.00,2999,9495.19
