District,col_1,col_2,col_3
Agra,1468111.7,1179488.0,80.34
Ambedkar Nagar,178471.13,174496.19,97.77
Azamgarh,288002.0,206833.88,71.82
Baghpat,360365.78,263112.63,73.01
Bahraich,158904.53,154983.05,97.53
Barabanki,342340.34,245220.0,71.63
Bhadohi,160104.0,144119.0,90.02
Budaun,318385.5,327622.0,102.9
Firozabad,390624.93,270060.0,69.14
Ghaziabad,1040239.11,743267.92,71.45
Ghazipur,217164.0,183238.06,84.38
Hamirpur,198822.86,111057.83,55.86
Hapur,342166.86,306765.18,89.65
Sambhal,335438.01,285730.59,85.18
Shravasti,49400.0,36240.0,73.36
Sitapur,421436.69,248083.0,58.87
