District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,35374.0,79.0,35453.0,18687.29,22492.13,906.19
Aligarh,20877.0,567.0,21444.0,15204.94,11433.34,201.26
Ambedkar Nagar,27886.0,143.0,28029.0,16292.15,814607.0,122.19
Amethi,34004.0,2.0,34006.0,21839.04,11793.08,176.9
Amroha,3799.0,19.0,3818.0,2142.78,1216.91,32.47
Auraiya,21733.0,3.0,21736.0,1811696.0,7358.22,113.53
Ayodhya,34747.0,9.0,34756.0,19035.62,7994.96,119.92
Azamgarh,13500.0,6422.0,19922.0,8769.12,4762.33,71.43
Baghpat,1211.0,0.0,1211.0,634.75,457.02,6.86
Bahraich,41463.0,4.0,41467.0,30403.99,15199.75,22800.0
Ballia,18769.0,9.0,18778.0,16812.28,8080.69,123.08
Balrampur,7472.0,85.0,7557.0,5285.42,2484.01,37.26
Banda,44846.0,14081.0,58927.0,37634.04,16226.88,243.4
Barabanki,103340.0,12258.0,115598.0,56445.59,29115.71,459.65
Bareilly,13763.0,2.0,13765.0,10216.4,6020.99,90.44
Basti,28981.0,50.0,29031.0,24508.07,10808.06,162.12
Bhadohi,6266.0,601.0,6867.0,3853.05,1852.16,27.78
Bijnor,1523.0,0.0,1523.0,1207.85,868.38,13.03
Budaun,17535.0,6.0,17541.0,14872.31,7294.56,118.06
Bulandshahr,52227.0,5.0,52232.0,33698.65,18289.98,274.84
Chandauli,19153.0,9.0,19162.0,17346.66,7626.13,114.47
Chitrakoot,9.0,1.0,6.0,16.0,18.0,
Deoria,25052.0,3.0,25055.0,19503.6,9849.32,147.74
Etah,9465.0,361.0,9826.0,7692.83,4279.81,66.51
Etawah,2950.0,25483.78,28433.78,52.0,90.0,
Farrukhabad,20294.0,0.0,20294.0,11855.09,8908.6,264.12
Fatehpur,58071.0,2.0,58073.0,43157.7,18074.31,27199.0
Firozabad,19924.0,418.0,20342.0,13242.7,15283.19,378.87
Gautam Buddha Nagar,10364.0,92.0,10456.0,6155.43,3693.26,55.4
Ghaziabad,2221.0,37.0,2258.0,1255.59,640.35,9.61
Ghazipur,36332.0,3240.0,39572.0,20125.12,10471.2,157.49
Gonda,9475.0,127.0,9602.0,5541.71,2681.77,40.23
Gorakhpur,35893.0,23.0,35916.0,27058.44,13073.42,196.28
Hamirpur,33656.0,1471.0,35127.0,42971.22,17610.41,264.15
Hapur,3766.0,90.0,3856.0,2117.59,1478.23,29.64
Hardoi,40362.0,1.0,40363.0,30182.41,14643.0,221.05
Hathras,12995.0,14.0,13009.0,8150.54,9910.87,43225.0
Jalaun,53.0,2.0,25.0,2.0,82.0,105.0
Jaunpur,43.0,3.0,11.0,0.0,57.0,86.0
Jhansi,7670.0,73345.88,81015.88,0.0,49.0,66.0
Kannauj,38011.0,921.0,38932.0,18137.95,14864.0,567.49
Kanpur Dehat,45009.0,12.0,45021.0,34689.78,16139.01,242.08
Kanpur Nagar,47124.0,9.0,47133.0,33383.92,17202.98,375.78
Kasganj,6899.0,418.0,7317.0,4344.74,2584.76,41.22
Kaushambi,16394.0,5309.0,21703.0,10109.29,4956.9,74.74
Kheri,3864.0,69.0,3933.0,3529.2,1728.78,25.93
Kushi Nagar,33357.0,7296.0,40653.0,25660.99,11419.14,171.29
Lalitpur,166933.0,142.0,167075.0,183592.69,83201.67,1248.02
Lucknow,21878.0,2.0,21880.0,11458.49,6123.22,95.34
Mahoba,30671.0,3262.0,33933.0,36779.41,15733.74,236.0
Mainpuri,15647.0,2248.0,17895.0,10483.84,6736.71,193.77
Mathura,79658.0,385.0,80043.0,69613.21,39079.03,957.72
Mau,11170.0,6.0,11176.0,6286.28,2695.62,40.43
Meerut,1450.0,8.0,1458.0,614.42,495.06,9.82
Mirzapur,2500.0,2225.0,741.0,27154.44,13052.83,195.79
Moradabad,8679.0,31.0,8710.0,6247.46,3081.6,50.07
Muzaffarnagar,1721.0,0.0,1721.0,797.03,598.23,9.02
Pilibhit,22058.0,4732.0,26790.0,19379.2,10069.94,151.05
Pratapgarh,32938.0,4.0,32942.0,19630.16,8401.95,126.03
Prayagraj,46191.0,75.0,46266.0,36637.19,13234.37,207.69
Rae Bareli,83849.0,12.0,83861.0,48629.0,23108.64,350.63
Rampur,22929.0,10.0,22939.0,17930.12,11837.29,178.67
Saharanpur,3810.0,28.0,3838.0,2430.89,1750.02,26.25
Sambhal,10973.0,7.0,10980.0,7860.14,4928.13,158.1
Sant Kabeer Nagar,18970.0,11.0,18981.0,16821.23,8325.66,124.88
Shahjahanpur,13446.0,36.0,13482.0,11022.63,5189.32,78.36
Shamli,2408.0,45.0,2453.0,1239.74,857.33,12.86
Shravasti,19453.0,8.0,19461.0,14090.0,6718.19,100.77
Siddharth Nagar,24351.0,3.0,24354.0,23936.63,9876.97,148.15
Sitapur,31658.0,95.0,31753.0,19621.8,12500.73,187.51
Sonbhadra,17889.0,66.0,17955.0,23903.18,11777.13,176.66
Sultanpur,35452.0,1.0,35453.0,22273.56,12250.46,183.76
Unnao,44505.0,2894.0,47399.0,32942.36,15213.32,228.74
Varanasi,8914.0,59.0,8973.0,5003.23,2853.85,42.83
