District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,1911.0,12457.04,551.0,82.59
Aligarh,1570.0,6986.21,343.0,46.27
Ambedkar Nagar,1075.0,2499.43,65.0,7.0
Amethi,661.0,2362.62,39.0,3.02
Amroha,56.0,12.39,43.0,5.25
Auraiya,180.0,577.44,28.0,3.25
Ayodhya,1458.0,4818.65,158.0,21.3
Azamgarh,3090.0,8712.97,88.0,10.02
Baghpat,1986.0,6505.92,,
Bahraich,226.0,847.5,32.0,5.57
Ballia,625.0,2249.18,59.0,7.02
Balrampur,306.0,668.24,18.0,1.95
Banda,194.0,712.75,30.0,3.86
Barabanki,611.0,3703.82,,
Bareilly,2175.0,8425.87,256.0,29.72
Basti,595.0,1750.49,49.0,8.0
Bhadohi,907.0,2483.66,,
Bijnor,1000.0,3890.78,174.0,14.57
Budaun,760.0,1823.04,106.0,5.93
Bulandshahr,471.0,1832.77,219.0,20.11
Chandauli,1000.0,3333.93,,
Chitrakoot,123.0,441.93,,
Deoria,731.0,3195.71,76.0,10.55
Etah,119.0,719.63,66.0,7.9
Etawah,201.0,844.8,63.0,9.22
Farrukhabad,280.0,1011.79,73.0,9.77
Fatehpur,2014.0,5640.15,65.0,8.34
Firozabad,391.0,2137.56,81.0,8.66
Gautam Buddha Nagar,1323.0,19483.41,284.0,52.13
Ghaziabad,1538.0,15789.41,455.0,68.95
Ghazipur,2017.0,5935.66,57.0,8.16
Gonda,482.0,1333.35,52.0,5.66
Gorakhpur,1897.0,9696.37,256.0,39.16
Hamirpur,232.0,680.9,15.0,2.19
Hapur,34.0,9.16,29.0,6.57
Hardoi,823.0,3109.21,,
Hathras,240.0,1188.8,75.0,9.73
Jalaun,265.0,758.65,46.0,5.63
Jaunpur,2619.0,7205.5,56.0,5.93
Jhansi,797.0,3084.44,,
Kannauj,334.0,1332.43,,
Kanpur Dehat,480.0,1543.6,39.0,5.96
Kanpur Nagar,3244.0,19688.43,515.0,75.06
Kaushambi,555.0,1379.94,,
Kheri,394.0,1540.32,90.0,10.53
Kushi Nagar,333.0,1277.48,43.0,6.77
Lalitpur,2529.0,6015.09,66.0,5.11
Lucknow,4190.0,29141.43,736.0,116.65
Maharajganj,375.0,1469.15,,
Mahoba,63.0,196.67,27.0,4.82
Mainpuri,257.0,1116.05,,
Mathura,837.0,3743.81,195.0,27.71
Mau,894.0,2567.11,67.0,10.34
Meerut,1506.0,8164.36,425.0,73.3
Mirzapur,540.0,2163.07,89.0,16.07
Moradabad,1664.0,6624.52,201.0,26.83
Muzaffarnagar,1426.0,5013.21,166.0,23.12
Pratapgarh,914.0,2790.17,101.0,11.4
Prayagraj,3019.0,11143.27,,
Rampur,562.0,1763.39,61.0,5.2
Saharanpur,1092.0,4257.68,198.0,23.29
Sambhal,326.0,1177.75,21.0,1.88
Sant Kabeer Nagar,365.0,1238.93,,
Shahjahanpur,909.0,2331.09,84.0,9.03
Shravasti,35.0,97.34,,
Siddharth Nagar,453.0,1084.46,37.0,3.97
Sitapur,343.0,1352.43,39.0,5.16
Sonbhadra,462.0,2054.25,53.0,8.06
Sultanpur,1493.0,4368.58,129.0,14.63
Unnao,162.0,2815.01,96.0,8.85
Varanasi,3024.0,16340.45,,
