District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Aligarh,70827.0,217.18,215.36,9673.0,175.98,166.66,1917.0,155.68
Ambedkar Nagar,59703.0,175.42,174.06,9658.0,135.55,129.53,802.0,66.47
Amethi,10447.0,29.16,28.6,5816.0,119.36,109.29,1058.0,85.99
Amroha,28322.0,91.89,91.33,5604.0,81.02,71.98,885.0,69.99
Auraiya,21252.0,17.19,16.75,837.0,20.7,17.13,293.0,23.01
Ayodhya,35754.0,101.48,99.95,9061.0,150.89,141.6,1063.0,88.33
Azamgarh,92055.0,272.58,270.92,12055.0,169.45,161.83,1125.0,90.58
Bahraich,32554.0,87.73,87.02,2945.0,61.06,56.58,479.0,39.65
Ballia,116992.0,340.16,338.18,12434.0,111.51,106.04,628.0,52.01
Banda,15024.0,39.29,39.05,2420.0,47.58,44.86,361.0,30.05
Bhadohi,31921.0,111.1,109.49,6008.0,79.08,74.86,554.0,45.71
Bijnor,92368.0,274.88,273.17,9195.0,120.02,111.23,1328.0,110.72
Budaun,20007.0,59.72,59.3,3415.0,57.74,52.41,560.0,44.68
Bulandshahr,80781.0,265.36,264.01,8951.0,114.35,106.62,1155.0,95.22
Chandauli,75284.0,232.14,208.76,8975.0,116.3,113.94,465.0,37.54
Deoria,141365.0,376.05,374.25,15168.0,152.09,143.68,1117.0,94.51
Etah,9078.0,21.3,20.69,2390.0,57.35,52.19,471.0,39.9
Etawah,29828.0,25.04,24.3,1487.0,40.81,36.59,462.0,37.09
Farrukhabad,2227.0,4.27,4.01,2811.0,65.6,60.16,414.0,33.74
Fatehpur,18237.0,58.0,57.49,6819.0,123.26,117.41,810.0,64.21
Firozabad,30240.0,85.03,84.26,3911.0,83.46,76.21,751.0,60.51
Gautam Buddha Nagar,136132.0,381.46,380.58,5189.0,138.29,128.32,3911.0,231.94
Ghaziabad,59081.0,173.55,172.04,9715.0,191.85,182.47,3776.0,299.22
Ghazipur,63243.0,186.17,184.32,10892.0,152.85,148.2,940.0,75.89
Gonda,6144.0,16.26,15.72,3320.0,70.67,67.21,796.0,62.33
Gorakhpur,282930.0,851.78,846.81,24698.0,296.52,285.64,3210.0,262.54
Hapur,64839.0,198.47,196.13,5020.0,62.72,57.51,487.0,37.9
Hathras,24733.0,72.91,12.08,4098.0,68.34,62.35,479.0,41.26
Jalaun,3384.0,7.75,7.49,1398.0,32.16,29.19,269.0,21.45
Jaunpur,106614.0,336.08,308.1,16522.0,223.38,215.4,1079.0,86.91
Jhansi,29129.0,83.03,81.01,3798.0,87.05,78.6,948.0,73.82
Kannauj,12236.0,34.61,33.41,4044.0,75.9,68.14,449.0,36.69
Kanpur Dehat,7768.0,20.7,20.38,3325.0,68.17,62.95,523.0,42.2
Kasganj,2106.0,3.33,3.17,1200.0,30.99,26.9,244.0,20.22
Kaushambi,21289.0,84.66,84.28,5366.0,80.5,73.75,401.0,31.42
Kushi Nagar,213540.0,613.12,611.18,11120.0,113.86,109.7,710.0,58.58
Lalitpur,1631.0,4.26,3.25,939.0,18.41,13.94,197.0,16.01
Lucknow,129762.0,375.13,371.02,24661.0,468.2,446.94,6990.0,514.8
Mahoba,2334.0,6.68,6.6,1165.0,21.62,19.61,109.0,8.86
Mainpuri,2952.0,3.89,3.44,2705.0,61.85,54.07,543.0,45.49
Mathura,66797.0,200.92,199.69,9915.0,143.58,133.99,1468.0,122.11
Meerut,61912.0,180.25,177.66,9132.0,168.08,153.79,2515.0,201.18
Mirzapur,80874.0,245.56,224.28,6774.0,88.39,85.52,671.0,55.27
Moradabad,28831.0,83.58,82.94,7842.0,167.96,152.49,2059.0,158.96
Muzaffarnagar,86256.0,233.33,231.39,10082.0,125.69,117.36,1128.0,91.59
Pilibhit,3408.0,9.9,9.65,1858.0,42.76,39.39,510.0,41.18
Pratapgarh,24376.0,77.51,76.34,7730.0,126.56,115.81,829.0,66.33
Prayagraj,163394.0,513.95,509.41,19887.0,318.12,290.62,2759.0,217.32
Rae Bareli,29624.0,84.58,83.66,6809.0,137.38,131.58,1143.0,96.59
Rampur,14839.0,45.12,44.58,6551.0,92.24,87.77,683.0,55.63
Shahjahanpur,21009.0,57.66,57.39,3362.0,68.62,65.11,838.0,70.69
Unnao,18268.0,50.08,48.65,5411.0,113.71,105.81,692.0,57.31
