District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,794.0,9.0,53.0,3.0,859.0,1588.0
Aligarh,707.0,8.0,31.0,1.0,747.0,1414.0
Ambedkar Nagar,181.0,3.0,23.0,1.0,208.0,362.0
Amethi,96.0,1.0,10.0,0.0,107.0,192.0
Amroha,468.0,3.0,24.0,1.0,496.0,936.0
Auraiya,135.0,2.0,8.0,1.0,146.0,270.0
Ayodhya,429.0,13.0,39.0,0.0,481.0,858.0
Azamgarh,237.0,2.0,26.0,0.0,265.0,474.0
Baghpat,179.0,3.0,5.0,0.0,187.0,358.0
Bahraich,290.0,9.0,29.0,2.0,330.0,580.0
Ballia,216.0,3.0,8.0,0.0,227.0,432.0
Balrampur,83.0,0.0,3.0,0.0,86.0,166.0
Banda,189.0,4.0,28.0,1.0,222.0,378.0
Barabanki,692.0,2.0,53.0,0.0,747.0,1384.0
Bareilly,877.0,28.0,79.0,2.0,986.0,1754.0
Basti,131.0,0.0,7.0,0.0,138.0,262.0
Bhadohi,165.0,3.0,17.0,0.0,185.0,330.0
Bijnor,425.0,2.0,22.0,3.0,452.0,850.0
Budaun,255.0,6.0,14.0,0.0,275.0,510.0
Bulandshahr,406.0,14.0,34.0,3.0,457.0,812.0
Chandauli,153.0,0.0,7.0,0.0,160.0,306.0
Chitrakoot,37.0,0.0,7.0,0.0,44.0,74.0
Deoria,176.0,1.0,8.0,1.0,186.0,352.0
Etah,534.0,4.0,28.0,0.0,566.0,1068.0
Etawah,119.0,1.0,9.0,1.0,130.0,238.0
Farrukhabad,515.0,3.0,32.0,1.0,551.0,1030.0
Fatehpur,230.0,8.0,26.0,0.0,264.0,460.0
Firozabad,208.0,4.0,10.0,2.0,224.0,416.0
Gautam Buddha Nagar,311.0,1.0,12.0,0.0,324.0,622.0
Ghaziabad,700.0,6.0,22.0,0.0,728.0,1400.0
Ghazipur,244.0,0.0,14.0,1.0,259.0,488.0
Gonda,183.0,15.0,22.0,0.0,220.0,366.0
Gorakhpur,379.0,4.0,18.0,0.0,401.0,758.0
Hamirpur,75.0,10.0,12.0,0.0,97.0,150.0
Hapur,151.0,2.0,5.0,0.0,158.0,302.0
Hardoi,449.0,3.0,29.0,0.0,481.0,898.0
Hathras,82.0,0.0,6.0,0.0,88.0,164.0
Jalaun,180.0,3.0,18.0,1.0,202.0,360.0
Jaunpur,243.0,1.0,12.0,0.0,256.0,486.0
Jhansi,159.0,1.0,6.0,1.0,167.0,318.0
Kannauj,183.0,0.0,17.0,0.0,200.0,366.0
Kanpur Dehat,169.0,2.0,21.0,3.0,195.0,338.0
Kanpur Nagar,632.0,22.0,40.0,0.0,694.0,1264.0
Kaushambi,105.0,0.0,12.0,0.0,117.0,210.0
Kheri,639.0,30.0,61.0,3.0,733.0,1278.0
Kushi Nagar,164.0,3.0,5.0,1.0,173.0,328.0
Lalitpur,46.0,4.0,3.0,0.0,53.0,92.0
Lucknow,980.0,15.0,30.0,6.0,1031.0,1960.0
Mahoba,134.0,8.0,20.0,2.0,164.0,268.0
Mainpuri,248.0,0.0,32.0,0.0,280.0,496.0
Mathura,360.0,4.0,16.0,0.0,380.0,720.0
Mau,127.0,1.0,3.0,0.0,131.0,254.0
Meerut,763.0,6.0,29.0,0.0,798.0,1526.0
Mirzapur,259.0,4.0,23.0,2.0,288.0,518.0
Moradabad,822.0,1.0,36.0,4.0,863.0,1644.0
Muzaffarnagar,488.0,5.0,26.0,2.0,521.0,976.0
Pratapgarh,357.0,11.0,30.0,2.0,400.0,714.0
Prayagraj,674.0,8.0,58.0,1.0,741.0,1348.0
Rae Bareli,488.0,5.0,32.0,1.0,526.0,976.0
Rampur,447.0,9.0,32.0,2.0,490.0,894.0
Saharanpur,544.0,7.0,29.0,3.0,583.0,1088.0
Sambhal,334.0,19.0,28.0,2.0,383.0,668.0
Sant Kabeer Nagar,52.0,0.0,1.0,0.0,53.0,104.0
Shahjahanpur,453.0,25.0,50.0,1.0,529.0,906.0
Shamli,159.0,3.0,10.0,2.0,174.0,318.0
Shravasti,53.0,3.0,11.0,0.0,67.0,106.0
Siddharth Nagar,57.0,0.0,3.0,0.0,60.0,114.0
Sitapur,485.0,8.0,43.0,2.0,538.0,970.0
Sonbhadra,132.0,12.0,23.0,0.0,167.0,264.0
Sultanpur,352.0,10.0,36.0,1.0,399.0,704.0
Unnao,401.0,1.0,34.0,0.0,436.0,802.0
Varanasi,384.0,9.0,16.0,1.0,410.0,768.0
