District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Agra,431804.0,937082.0,615670.0,753216.0,1368886.0,1329368.0,414.61,144011.0,1076239.0,1058429.0,79.62,80.96
Aligarh,413755.0,543338.0,420927.0,536166.0,957093.0,945971.0,288.59,144153.0,796530.0,709909.0,75.05,84.2
Ambedkar Nagar,647323.0,289051.0,497967.0,438407.0,936374.0,912948.0,316.48,87435.0,865269.0,759134.0,83.15,94.78
Amethi,310300.0,58800.0,191424.0,177676.0,369100.0,351708.0,195.57,20015.0,325457.0,316601.0,90.02,92.54
Amroha,268936.0,138995.0,191212.0,216719.0,407931.0,399945.0,214.69,32209.0,322624.0,298665.0,74.68,80.67
Auraiya,269535.0,92563.0,178589.0,183509.0,362098.0,343867.0,136.0,47580.0,269536.0,280608.0,81.6,78.38
Ayodhya,658159.0,243594.0,456917.0,444836.0,901753.0,876476.0,382.41,58877.0,821709.0,749931.0,85.56,93.75
Azamgarh,958674.0,215806.0,509009.0,665471.0,1174480.0,1120690.0,431.09,191597.0,722312.0,889475.0,79.37,64.45
Baghpat,152258.0,70038.0,102060.0,120236.0,222296.0,190886.0,127.99,21925.0,180088.0,160799.0,84.24,94.34
Ballia,623666.0,525686.0,531777.0,617575.0,1149352.0,1097523.0,413.51,153609.0,888428.0,894003.0,81.46,80.95
Balrampur,335173.0,75310.0,193583.0,216900.0,410483.0,380025.0,181.9,21581.0,258595.0,341134.0,89.77,68.05
Banda,309934.0,129676.0,198540.0,241070.0,439610.0,374855.0,153.74,35474.0,217584.0,304920.0,81.34,58.04
Bareilly,790441.0,710050.0,747630.0,752861.0,1500491.0,1426400.0,509.28,94798.0,1333129.0,1246876.0,87.41,93.46
Bhadohi,541543.0,261597.0,347247.0,455893.0,803140.0,707004.0,248.82,133341.0,530218.0,636394.0,90.01,75.0
Bijnor,760007.0,312362.0,531915.0,540454.0,1072369.0,1007062.0,291.8,165652.0,921431.0,865921.0,85.98,91.5
Budaun,673498.0,542956.0,588634.0,627820.0,1216454.0,1180480.0,279.88,70867.0,1089604.0,860614.0,72.9,92.3
Bulandshahr,724366.0,341518.0,538614.0,527270.0,1065884.0,978162.0,346.83,129128.0,953524.0,737522.0,75.4,97.48
Chandauli,487475.0,162832.0,288857.0,361450.0,650307.0,569669.0,205.29,137107.0,486861.0,511027.0,89.71,85.46
Chitrakoot,147133.0,143317.0,134099.0,156351.0,290450.0,279758.0,88.76,25132.0,166393.0,216911.0,77.54,59.48
Deoria,543053.0,313999.0,374903.0,482149.0,857052.0,816459.0,269.37,116370.0,634427.0,622485.0,76.24,77.7
Etah,279527.0,373477.0,308787.0,344217.0,653004.0,566089.0,196.2,123301.0,534132.0,472251.0,83.42,94.35
Etawah,279177.0,192746.0,216023.0,255900.0,471923.0,448036.0,169.96,55609.0,375176.0,375648.0,83.84,83.74
Farrukhabad,344808.0,332482.0,308177.0,369113.0,677290.0,644430.0,198.46,83021.0,587787.0,513099.0,79.62,91.21
Gautam Buddha Nagar,207330.0,616451.0,483747.0,340034.0,823781.0,777301.0,381.31,99602.0,735003.0,648317.0,83.41,94.56
Ghaziabad,161462.0,677101.0,413593.0,424970.0,838563.0,806451.0,380.32,97197.0,737926.0,610184.0,75.66,91.5
Ghazipur,837208.0,243708.0,494338.0,586578.0,1080916.0,974662.0,419.15,203583.0,793981.0,818067.0,83.93,81.46
Gonda,693832.0,207930.0,422598.0,479164.0,901762.0,868606.0,950.39,39346.0,597599.0,723897.0,83.34,68.8
Gorakhpur,873920.0,545328.0,572437.0,846811.0,1419248.0,1329977.0,419.35,215165.0,1072236.0,974779.0,73.29,80.62
Hamirpur,186259.0,128504.0,153350.0,161413.0,314763.0,278030.0,120.07,14272.0,242804.0,244036.0,87.77,87.33
Hapur,131652.0,78710.0,97799.0,112563.0,210362.0,203921.0,67.99,33038.0,170582.0,144537.0,70.88,83.65
Hardoi,853037.0,521272.0,623966.0,750343.0,1374309.0,1216126.0,484.58,132006.0,1134625.0,1024157.0,84.21,93.3
Hathras,210001.0,293774.0,230956.0,272819.0,503775.0,479468.0,128.89,80052.0,418260.0,388931.0,81.12,87.23
Jalaun,313603.0,148894.0,213057.0,249440.0,462497.0,416664.0,157.3,18732.0,331501.0,354333.0,85.04,79.56
Jaunpur,1329901.0,405100.0,745345.0,989656.0,1735001.0,1510665.0,540.04,357714.0,1138346.0,1346253.0,89.12,75.35
Jhansi,273957.0,287007.0,278078.0,282886.0,560964.0,501334.0,173.64,66371.0,490729.0,428178.0,85.41,97.88
Kannauj,291764.0,280293.0,266842.0,305215.0,572057.0,546407.0,198.17,79726.0,467944.0,447140.0,81.83,85.64
Kanpur Dehat,356160.0,201407.0,296728.0,260839.0,557567.0,548352.0,192.33,44317.0,507859.0,448954.0,81.87,92.62
Kanpur Nagar,340493.0,848264.0,601748.0,587009.0,1188757.0,1167742.0,502.71,113671.0,1028715.0,943059.0,80.76,88.09
Kasganj,114244.0,360265.0,205744.0,268765.0,474509.0,443524.0,115.92,83634.0,386791.0,341263.0,76.94,87.21
Kaushambi,367423.0,150317.0,259695.0,258045.0,517740.0,486454.0,209.49,27361.0,480096.0,419107.0,86.16,98.69
Kheri,996493.0,256650.0,573571.0,679572.0,1253143.0,1151638.0,351.75,62258.0,698614.0,1035811.0,89.94,60.66
Kushi Nagar,678715.0,222763.0,422936.0,478542.0,901478.0,846398.0,258.78,159836.0,622580.0,654297.0,77.3,73.56
Lalitpur,339217.0,131434.0,234128.0,236523.0,470651.0,410502.0,101.45,41678.0,405138.0,357816.0,87.17,98.69
Lucknow,364619.0,828234.0,583143.0,609710.0,1192853.0,1060685.0,612.7,146505.0,970652.0,907124.0,85.52,91.51
Mahoba,166968.0,89960.0,118189.0,138739.0,256928.0,235886.0,120.58,6246.0,184629.0,192459.0,81.59,78.27
Mainpuri,337297.0,454042.0,395518.0,395821.0,791339.0,732580.0,206.66,108823.0,681948.0,578648.0,78.99,93.09
Mathura,325023.0,344025.0,328917.0,340131.0,669048.0,598597.0,223.99,71099.0,571202.0,510712.0,85.32,95.42
Mau,703993.0,279059.0,426414.0,556638.0,983052.0,852306.0,306.55,217775.0,650657.0,767740.0,90.08,76.34
Meerut,402738.0,524811.0,428563.0,498986.0,927549.0,899763.0,342.48,105459.0,790606.0,689494.0,76.63,87.87
Mirzapur,616579.0,170639.0,344920.0,442298.0,787218.0,670237.0,307.83,35652.0,516653.0,593998.0,88.63,77.09
Moradabad,328680.0,542417.0,405032.0,466065.0,871097.0,812990.0,307.64,78775.0,736707.0,672006.0,82.66,90.62
Muzaffarnagar,440860.0,395673.0,395848.0,440685.0,836533.0,761161.0,294.81,65657.0,732590.0,606879.0,79.73,96.25
Pratapgarh,1002828.0,133241.0,570282.0,565787.0,1136069.0,1099730.0,557.75,78452.0,769873.0,922323.0,7001.0,
Prayagraj,1439383.0,759144.0,1117997.0,1080530.0,2198527.0,2062945.0,900.36,167392.0,1934163.0,1736910.0,84.2,93.76
Rampur,264557.0,303954.0,278459.0,290052.0,568511.0,547371.0,214.6,35394.0,485304.0,435088.0,79.49,88.66
Saharanpur,596310.0,612183.0,578119.0,630374.0,1208493.0,1165590.0,348.66,149169.0,1018633.0,908611.0,77.95,87.39
Sambhal,357728.0,218045.0,262596.0,313177.0,575773.0,557523.0,152.35,60507.0,466626.0,381880.0,68.5,83.7
Shahjahanpur,710866.0,517292.0,630100.0,598058.0,1228158.0,1210566.0,366.06,84981.0,1150172.0,1005522.0,83.06,95.01
