District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,317.0,122.0,93.0,123.0,29.0,
Aligarh,283.0,69.0,55.0,214.0,14.0,
Ambedkar Nagar,249.0,68.0,61.0,35.0,7.0,
Amethi,90.0,8.0,5.0,50.0,3.0,67.37
Amroha,256.0,39.0,31.0,18.0,8.0,100.0
Auraiya,129.0,36.0,23.0,0.0,8.0,
Ayodhya,211.0,49.0,41.0,93.0,7.0,85.39
Azamgarh,265.0,74.0,60.0,134.0,10.0,
Baghpat,63.0,19.0,13.0,10.0,4.0,30.56
Bahraich,242.0,33.0,14.0,133.0,19.0,
Ballia,320.0,73.0,73.0,247.0,0.0,24.87
Balrampur,125.0,48.0,45.0,0.0,0.0,
Banda,127.0,6.0,3.0,121.0,3.0,14.6
Barabanki,224.0,59.0,48.0,70.0,11.0,
Basti,216.0,27.0,23.0,47.0,4.0,
Bhadohi,96.0,42.0,34.0,2.0,6.0,38.16
Bulandshahr,286.0,250.97,388.0,175.14,100.0,69.79
Chandauli,156.0,38.0,25.0,118.0,13.0,
Chitrakoot,154.0,64.0,54.0,32.0,10.0,1.03
Etah,137.0,120.6,106.0,54.6,77.37,45.27
Etawah,147.0,46.0,37.0,9.0,9.0,
Farrukhabad,164.0,49.0,44.0,30.0,5.0,100.0
Fatehpur,101.0,31.0,26.0,45.0,5.0,
Firozabad,314.0,98.0,82.0,67.0,16.0,39.16
Gautam Buddha Nagar,97.0,19.0,18.0,1.0,0.0,
Ghaziabad,209.0,71.0,51.0,7.0,10.0,
Ghazipur,345.0,70.0,49.0,189.0,21.0,
Gonda,212.0,47.0,31.0,37.0,16.0,100.0
Gorakhpur,156.0,19.0,14.0,137.0,5.0,
Hamirpur,83.0,20.0,9.0,31.0,11.0,
Hapur,92.0,32.0,23.0,18.0,9.0,3.23
Hardoi,324.0,95.0,62.0,38.0,21.0,
Hathras,196.0,63.0,42.0,13.0,19.0,
Jalaun,114.0,41.0,17.0,35.0,24.0,
Jaunpur,228.0,72.0,58.0,156.0,14.0,41.95
Jhansi,239.0,65.0,50.0,125.0,125.0,
Kanpur Dehat,135.0,31.0,28.0,104.0,3.0,74.07
Kanpur Nagar,253.0,64.0,53.0,144.0,11.0,26.22
Kasganj,144.0,46.0,39.0,11.0,7.0,
Kaushambi,184.0,64.0,53.0,0.0,11.0,100.0
Kushi Nagar,190.0,42.0,34.0,0.0,0.0,20.35
Lalitpur,86.0,38.0,29.0,7.0,9.0,
Lucknow,228.0,68.0,54.0,49.0,12.0,
Maharajganj,211.0,185.78,211.0,46.66,100.0,25.12
Mahoba,97.0,17.0,9.0,80.0,8.0,2.14
Mainpuri,242.0,59.0,42.0,72.0,17.0,
Mathura,253.0,60.0,46.0,117.0,14.0,69.55
Mau,150.0,33.0,21.0,117.0,12.0,18.56
Meerut,528.0,111.0,77.0,274.0,23.0,48.47
Mirzapur,218.0,36.0,28.0,105.0,7.0,
Moradabad,321.0,100.0,73.0,62.0,27.0,100.0
Muzaffarnagar,156.0,136.89,565.0,287.26,100.0,100.0
Pilibhit,184.0,33.0,22.0,42.0,11.0,
Pratapgarh,196.0,63.0,42.0,13.0,19.0,17.76
Prayagraj,401.0,82.0,66.0,98.0,16.0,
Rampur,102.0,89.63,538.0,182.83,100.0,100.0
Saharanpur,262.0,62.0,37.0,136.0,25.0,100.0
Sambhal,132.0,33.0,27.0,30.0,6.0,
Sant Kabeer Nagar,96.0,42.0,34.0,2.0,6.0,19.22
Shahjahanpur,248.0,44.0,33.0,91.0,11.0,21.64
Shravasti,63.0,24.0,13.0,17.0,11.0,6.84
Siddharth Nagar,135.0,72.0,58.0,6.0,13.0,0.55
Sitapur,216.0,32.0,20.0,90.0,12.0,21.55
Sonbhadra,231.0,35.0,17.0,109.0,18.0,
Sultanpur,186.0,37.0,11.0,9.0,12.0,
Unnao,222.0,44.0,33.0,5.0,11.0,
Varanasi,290.0,55.0,42.0,176.0,13.0,
