District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,214.0,82.0,0.0,7.0,303.0,4.26
Aligarh,137.0,81.0,0.0,5.0,223.0,2.74
Ambedkar Nagar,34.0,4.0,0.0,0.0,38.0,0.68
Amroha,54816.0,31552.0,173.0,86541.0,150303.0,83011.0
Auraiya,24.0,5.0,0.0,0.0,29.0,0.47
Ayodhya,84.0,19.0,0.0,1.0,104.0,1.67
Azamgarh,81.0,17.0,1.0,3.0,102.0,1.6
Baghpat,75.0,13.0,0.0,2.0,90.0,1.5
Bahraich,59.0,36.0,0.0,4.0,99.0,1.18
Ballia,30.0,6.0,0.0,1.0,37.0,0.6
Balrampur,3.0,0.0,0.0,1.0,4.0,0.06
Banda,52.0,26.0,1.0,3.0,82.0,1.04
Bareilly,144.0,22.0,2.0,16.0,184.0,2.87
Basti,16.0,0.0,0.0,1.0,17.0,0.32
Bhadohi,13.0,8.0,0.0,0.0,21.0,0.25
Bijnor,119.0,34.0,0.0,0.0,153.0,2.37
Budaun,38.0,9.0,0.0,0.0,47.0,0.76
Bulandshahr,133.0,54.0,0.0,3.0,190.0,2.66
Chandauli,34.0,12.0,0.0,0.0,46.0,0.68
Deoria,25.0,4.0,0.0,1.0,30.0,0.5
Etah,53370.0,39684.0,30.0,93084.0,164959.0,119296.0
Etawah,24647.0,20332.0,28.0,45007.0,143371.0,95785.0
Farrukhabad,60.0,27.0,0.0,1.0,88.0,1.19
Fatehpur,60.0,10.0,1.0,3.0,74.0,1.17
Firozabad,56.0,17.0,0.0,3.0,76.0,1.12
Gautam Buddha Nagar,94.0,22.0,1.0,2.0,119.0,1.88
Ghaziabad,117963.0,81267.0,334.0,199564.0,284005.0,198351.0
Ghazipur,53.0,8.0,0.0,1.0,62.0,1.02
Gonda,27.0,16.0,1.0,2.0,46.0,0.54
Gorakhpur,56.0,19.0,1.0,0.0,76.0,1.12
Hapur,43.0,7.0,0.0,0.0,50.0,0.84
Hardoi,87.0,58.0,2.0,4.0,151.0,1.73
Jalaun,66.0,45.0,2.0,1.0,114.0,1.31
Jaunpur,54.0,13.0,0.0,0.0,67.0,1.08
Kannauj,48.0,39.0,0.0,2.0,89.0,0.96
Kanpur Dehat,50.0,1.0,0.0,2.0,53.0,1.0
Kanpur Nagar,221.0,49.0,0.0,1.0,271.0,4.38
Kasganj,32653.0,24874.0,10.0,57537.0,135893.0,105085.0
Kaushambi,24.0,5.0,0.0,1.0,30.0,0.48
Kheri,106.0,37.0,1.0,3.0,147.0,2.09
Kushi Nagar,12.0,7.0,0.0,0.0,19.0,0.24
Lalitpur,19.0,2.0,0.0,0.0,21.0,0.37
Lucknow,288.0,125.0,3.0,3.0,419.0,5.75
Mahoba,30.0,29.0,1.0,2.0,62.0,0.6
Mathura,118.0,29.0,0.0,2.0,149.0,2.35
Mau,18.0,13.0,0.0,0.0,31.0,0.36
Meerut,181.0,42.0,2.0,3.0,228.0,3.59
Mirzapur,74.0,37.0,1.0,1.0,113.0,1.48
Moradabad,85.0,14.0,0.0,6.0,99.0,1.67
Muzaffarnagar,135.0,35.0,1.0,2.0,173.0,2.68
Pilibhit,79.0,14.0,0.0,3.0,96.0,1.58
Pratapgarh,46.0,10.0,0.0,1.0,57.0,0.91
Prayagraj,83.0,31.0,1.0,3.0,118.0,1.66
Rae Bareli,92.0,16.0,2.0,1.0,111.0,1.82
Rampur,69.0,8.0,0.0,1.0,78.0,1.38
Saharanpur,106.0,32.0,2.0,3.0,143.0,2.1
Sambhal,11.0,4.0,0.0,0.0,15.0,0.22
Sant Kabeer Nagar,7.0,1.0,0.0,2.0,10.0,0.14
Shahjahanpur,66678.0,38371.0,39.0,105088.0,349911.0,252039.0
Shamli,36.0,23.0,0.0,0.0,59.0,0.7
Shravasti,9.0,4.0,1.0,1.0,15.0,0.18
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,0.18
Sitapur,91.0,62.0,1.0,3.0,157.0,1.81
Sonbhadra,49.0,28.0,1.0,2.0,80.0,0.97
Sultanpur,37.0,3.0,0.0,0.0,40.0,0.74
Unnao,74.0,33.0,1.0,2.0,110.0,1.48
Varanasi,90.0,21.0,0.0,12.0,123.0,1.78
