District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,866.0,5556.08,,,,,,
Aligarh,21983.8,11879.52,54.04,1209.0,15.62,13.18,250.0,19.21
Ambedkar Nagar,6543.84,2662.11,40.68,913.0,11.26,10.22,134.0,8.68
Amethi,50.0,236.24,4.0,11.35,4.34,1.0,1.0,0.25
Amroha,6159.17,5213.95,84.65,113.0,28.25,0.0,0.0,0.0
Auraiya,105.0,653.04,,,,,,
Ayodhya,383.0,1263.56,3.0,16.0,16.5,0.0,0.0,0.0
Azamgarh,18209.69,4102.74,22.53,2211.0,25.82,23.45,144.0,9.93
Baghpat,6405.57,3467.7,54.14,7.15,12.51,6.53,74.0,6.45
Bahraich,92.0,688.12,,,,,,
Ballia,14994.06,5286.95,35.26,2861.0,29.1,28.16,112.0,10.38
Balrampur,86.0,357.44,24.0,2.67,,,,
Banda,5238.0,2732.0,52.16,3.51,,,,
Barabanki,7937.99,5242.87,66.05,404.0,96.0,15.0,101.92,25.48
Bareilly,647.0,2453.61,249.0,976.85,231.11,13.0,122.01,30.52
Basti,364.0,1771.69,56.0,8.94,,,,
Bhadohi,96.0,416.51,,,,,,
Bijnor,363.0,1498.92,,,,,,
Budaun,6625.56,5287.4,79.8,,,,,
Bulandshahr,460.0,1987.97,240.0,23.23,14.75,12.49,143.0,12.09
Chandauli,7422.24,3100.7,41.78,,,,,
Chitrakoot,2748.85,1433.89,52.16,,,,,
Deoria,124.0,826.54,,,,,,
Etah,5157.0,3848.0,74.62,4.85,8.59,6.39,49.0,3.83
Etawah,6143.47,2553.3,41.56,10.04,,,,
Farrukhabad,5005.19,2726.45,54.47,396.5,99.13,11.0,117.2,29.3
Fatehpur,110.0,583.89,73.0,9.24,6.87,6.38,19.0,6.31
Firozabad,9198.75,4829.11,52.5,,,,,
Gautam Buddha Nagar,123387.89,65866.73,53.38,397.0,9.23,6.83,229.0,131.0
Ghaziabad,66663.0,30910.0,46.37,1809.34,219.91,8.0,336.5,43.5
Ghazipur,1527.0,2873.97,10.0,91.2,24.3,2.0,10.0,2.5
Gonda,9306.17,4474.68,48.08,204.0,51.0,2.0,25.0,6.25
Gorakhpur,564.0,3438.88,86.02,5890.0,56.19,51.23,404.0,31.1
Hamirpur,49.0,458.81,6.0,32.0,8.0,0.0,0.0,0.0
Hapur,6854.33,4206.42,61.37,1256.8,140.0,14.0,455.0,18.15
Hardoi,7285.15,4041.96,55.48,131.0,32.15,8.0,11.0,4.25
Hathras,6140.0,3811.0,62.07,18.4,19.6,3.0,61.5,14.5
Jalaun,70.0,675.25,1.19,232.0,2.94,2.54,43.0,2.87
Jaunpur,832.0,3148.84,11.0,185.0,46.25,0.0,0.0,0.0
Jhansi,332.0,2874.94,,,,,,
Kannauj,100.0,555.67,13.0,100.0,25.0,1.0,10.0,2.5
Kanpur Dehat,4490.0,2680.0,59.69,,,,,
Kanpur Nagar,907.0,6188.19,16.13,2502.0,39.03,32.89,515.0,37.44
Kaushambi,188.0,774.24,,,,,,
Kheri,11464.89,7482.94,65.27,,,,,
Kushi Nagar,8395.83,3423.06,40.77,183.5,43.38,0.0,0.0,0.0
Lalitpur,4064.09,2932.71,72.16,90.52,21.15,5.0,35.0,8.15
Lucknow,127573.19,56753.05,44.49,821.5,136.13,6.0,139.0,30.0
Maharajganj,312.0,1702.47,,,,,,
Mahoba,3431.87,1808.27,52.69,40.0,10.0,0.0,0.0,0.0
Mainpuri,115.0,916.68,,,,,,
Mathura,15916.0,10132.0,63.66,511.0,10.82,9.23,116.0,15.13
Mau,9021.4,2673.85,29.64,11.16,12.51,11.69,66.0,5.13
Meerut,36442.08,20603.78,56.54,76.13,21.68,17.4,252.0,20.5
Mirzapur,7720.05,3487.35,45.17,,,,,
Moradabad,19100.0,13700.0,71.73,2313.03,291.58,10.0,358.22,10.81
Muzaffarnagar,341.0,1790.24,,,,,,
Pratapgarh,11914.75,5013.58,42.08,199.0,49.15,2.0,15.0,3.15
Prayagraj,42086.76,17577.48,41.76,,,,,
Rae Bareli,13402.3,6607.23,49.3,,,,,
Rampur,6697.31,5295.8,79.07,945.11,109.15,2.0,20.0,5.0
Saharanpur,17394.99,10688.8,61.45,141.5,36.88,5.0,39.0,9.15
Sambhal,44.0,233.32,51.0,649.1,125.53,1.0,35.0,1.0
Sant Kabeer Nagar,178.0,729.25,35.0,5.48,,,,
Shahjahanpur,9337.39,6602.17,70.71,489.05,112.16,1.0,43.04,10.76
Shamli,4932.91,2999.48,60.81,52.0,12.5,0.0,0.0,0.0
Shravasti,33.0,112.91,5.0,91.0,20.25,2.0,55.0,11.25
Siddharth Nagar,5640.39,1943.81,34.46,446.0,8.5,1.62,135.0,10.51
Sitapur,9353.15,5262.28,56.26,59.5,14.88,5.0,12.5,3.13
Sonbhadra,8744.24,3546.59,40.56,83.0,18.25,0.0,0.0,0.0
Sultanpur,178.0,784.09,30.0,445.6,18.9,2.0,35.0,8.15
Unnao,11184.16,4645.25,41.53,653.0,123.25,9.0,169.5,21.38
Varanasi,46703.58,18725.86,40.1,,,,,
