District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,3400.0,3265.7,118.0,94.03,3.0,2.88
Aligarh,89.0,172.66,56.0,677.67,169.42,30.0
Ambedkar Nagar,68.0,131.92,43.0,453.3,113.33,35.0
Amethi,1500.0,1440.75,303.0,119.48,20.0,8.29
Amroha,804.0,772.72,56.0,20.44,7.0,2.65
Auraiya,33.0,64.02,19.0,155.0,38.75,8.0
Ayodhya,82.0,159.08,37.0,426.93,106.73,22.0
Azamgarh,3900.0,3745.95,81.0,29.86,2.0,0.8
Baghpat,1634.0,1569.46,18.0,11.24,1.0,0.72
Bahraich,3400.0,3265.7,33.0,12.53,1.0,0.38
Ballia,78.0,150.35,43.0,456.7,114.18,56.0
Balrampur,1600.0,1536.8,27.0,8.34,2.0,0.54
Banda,2315.0,2224.04,9.0,16.52,0.0,0.74
Barabanki,3400.0,3265.7,43.0,15.37,1.0,0.47
Bareilly,1600.0,1536.8,109.0,50.2,7.0,3.27
Basti,3500.0,3361.75,319.0,110.63,9.0,3.29
Bhadohi,1200.0,1152.6,8.0,3.33,1.0,0.29
Bijnor,3500.0,3361.75,100.0,38.23,3.0,1.14
Budaun,3600.0,3457.86,51.0,52.5,1.0,1.52
Bulandshahr,1263.0,1213.59,36.0,72.3,3.0,5.96
Chandauli,3364.0,3231.12,127.0,61.09,4.0,1.89
Chitrakoot,47.0,91.18,30.0,285.36,71.34,17.0
Deoria,3400.0,3265.7,374.0,91.07,11.0,2.79
Etah,1040.0,998.92,21.0,7.4,2.0,0.74
Etawah,2341.0,2249.01,112.0,47.56,5.0,211.0
Fatehpur,59.0,114.46,24.0,228.99,57.25,37.0
Gautam Buddha Nagar,434.0,417.34,6.0,2.49,1.0,0.6
Ghaziabad,97.0,188.18,92.0,1069.53,267.38,93.0
Gonda,79.0,153.26,32.0,309.51,77.38,69.0
Gorakhpur,106.0,205.64,93.0,103049.0,257.62,91.0
Hamirpur,28.0,54.32,14.0,11702.0,29.25,13.0
Hapur,735.0,705.97,23.0,5.8,3.0,0.82
Hardoi,3381.0,3247.93,115.0,47.24,3.0,1.45
Hathras,580.0,557.57,16.0,5.71,3.0,1.02
Jalaun,41.0,79.54,17.0,14364.0,35.91,13.0
Jaunpur,1786.0,1715.93,34.0,3.42,2.0,0.2
Jhansi,48.0,93.12,79.0,614.13,153.53,197.0
Kannauj,39.0,75.66,65.0,588.3,147.08,50.0
Kanpur Dehat,43.0,83.42,57.0,494.95,123.74,33.0
Kasganj,505.0,485.05,5.0,1.01,1.0,0.21
Kaushambi,45.0,87.3,22.0,240.5,60.13,112.0
Kheri,3600.0,3457.8,53.0,19.29,1.0,0.56
Kushi Nagar,68.0,131.92,46.0,496.27,124.07,53.0
Lalitpur,30.0,58.2,26.0,166.63,41.66,15.0
Lucknow,110.0,213.4,65.0,904.55,226.14,42.0
Maharajganj,64.0,124.16,58.0,610.95,152.74,48.0
Mahoba,25.0,48.5,20.0,160.1,40.03,21.0
Mau,53.0,103.79,15.0,192.0,48.0,18.0
Meerut,104.0,201.76,77.0,994.9,248.73,74.0
Moradabad,107.0,207.58,61.0,687.92,171.98,70.0
Muzaffarnagar,87.0,168.78,53.0,486.6,121.65,52.0
Pilibhit,65.0,126.1,71.0,734.39,183.6,117.0
Pratapgarh,77.0,150.35,38.0,393.0,98.25,45.0
Prayagraj,3900.0,3745.95,758.0,353.56,19.0,9.44
Rae Bareli,81.0,157.14,40.0,542.55,135.64,20.0
Rampur,58.0,112.52,51.0,569.43,142.36,27.0
Saharanpur,1500.0,1440.75,19.0,14.44,1.0,1.0
Sambhal,54.0,104.76,33.0,408.55,102.14,73.0
Sant Kabeer Nagar,52.0,100.88,39.0,480.75,120.19,39.0
Shahjahanpur,73.0,141.62,138.0,1267.36,316.84,185.0
Shamli,31.0,60.14,17.0,187.36,46.84,9.0
Shravasti,28.0,54.32,12.0,116.0,29.0,11.0
Siddharth Nagar,2200.0,2113.1,20.0,5.67,1.0,0.27
Sitapur,87.0,168.78,52.0,398.02,99.51,36.0
Sonbhadra,44.0,85.36,42.0,386.43,96.61,31.0
Sultanpur,86.0,166.84,49.0,549.15,137.29,89.0
Unnao,75.0,145.5,65.0,668.55,167.14,44.0
Varanasi,2823.0,2711.59,164.0,52.24,7.0,1.93
