District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Agra,603714.0,870251.0,646596.0,827369.0,1473965.0,1433620.0,436.08,123705.0,1087583.0,1181028.0,82.38,75.86
Ambedkar Nagar,1017582.0,161569.0,571586.0,607565.0,1179151.0,1126926.0,400.41,66102.0,1019946.0,1009655.0,89.59,90.51
Amroha,313649.0,152184.0,202768.0,263065.0,465833.0,443473.0,236.23,28530.0,337233.0,349065.0,78.71,76.04
Ayodhya,882862.0,198006.0,505087.0,575781.0,1080868.0,1010791.0,512.07,47398.0,931161.0,929369.0,91.94,92.12
Azamgarh,1329486.0,245565.0,649978.0,925073.0,1575051.0,1487304.0,567.25,245337.0,709703.0,1278338.0,85.95,47.72
Baghpat,164515.0,79058.0,104151.0,139422.0,243573.0,207792.0,137.34,17137.0,186162.0,188630.0,90.78,89.59
Balrampur,479739.0,71360.0,249616.0,301483.0,551099.0,503704.0,243.37,33536.0,324205.0,467185.0,92.75,64.36
Banda,412649.0,97466.0,258758.0,251357.0,510115.0,399807.0,198.85,26073.0,189822.0,394837.0,98.76,47.48
Bareilly,1178785.0,645350.0,865134.0,959001.0,1824135.0,1754925.0,615.72,86341.0,1502190.0,1588154.0,90.5,85.6
Budaun,914166.0,484899.0,641961.0,757104.0,1399065.0,1382710.0,368.8,56233.0,1204299.0,1048936.0,75.86,87.1
Bulandshahr,848428.0,314183.0,507041.0,655570.0,1162611.0,1090645.0,436.77,80631.0,953575.0,876127.0,80.33,87.43
Etah,326185.0,385175.0,336762.0,374598.0,711360.0,672519.0,217.51,72967.0,565507.0,538214.0,80.03,84.09
Etawah,320361.0,202722.0,236402.0,286681.0,523083.0,490599.0,176.51,55131.0,395843.0,406954.0,82.95,80.69
Farrukhabad,503463.0,297130.0,368193.0,432400.0,800593.0,707644.0,237.36,81965.0,638528.0,640849.0,90.56,90.23
Fatehpur,859375.0,206064.0,522652.0,542787.0,1065439.0,984891.0,560.57,32702.0,896594.0,908832.0,92.28,91.03
Gonda,836174.0,240086.0,492143.0,584117.0,1076260.0,973899.0,834.46,46950.0,670890.0,911913.0,93.64,68.89
Hapur,172983.0,93605.0,115760.0,150828.0,266588.0,217882.0,103.96,25573.0,210305.0,201339.0,92.41,96.52
Kannauj,590941.0,58054.0,303581.0,345414.0,648995.0,545610.0,222.52,66825.0,496597.0,538711.0,98.74,91.02
Kanpur Dehat,591298.0,156040.0,378260.0,369078.0,747338.0,714679.0,263.68,46572.0,651742.0,633921.0,88.7,91.19
Kanpur Nagar,418146.0,835982.0,597847.0,656281.0,1254128.0,1157309.0,552.82,73457.0,1040685.0,1037349.0,89.63,89.92
Kasganj,211831.0,311733.0,232023.0,291541.0,523564.0,489479.0,138.14,39874.0,410683.0,404601.0,82.66,83.9
Kushi Nagar,1081676.0,147640.0,524216.0,705100.0,1229316.0,1163055.0,305.66,152029.0,730964.0,908068.0,78.08,62.85
Lucknow,481500.0,834879.0,615043.0,701336.0,1316379.0,1263615.0,656.56,115403.0,992289.0,1042566.0,82.51,78.53
Mahoba,215580.0,70944.0,138265.0,148259.0,286524.0,243774.0,138.29,7616.0,151801.0,224923.0,92.27,62.27
Mathura,435468.0,292569.0,356405.0,371632.0,728037.0,652757.0,244.28,53308.0,591884.0,585819.0,89.75,90.67
Mau,921107.0,300073.0,506133.0,715047.0,1221180.0,1200039.0,395.8,190965.0,604344.0,997030.0,83.08,50.36
Meerut,468763.0,544951.0,443708.0,570006.0,1013714.0,881120.0,386.91,78721.0,824361.0,783374.0,88.91,93.56
Moradabad,457162.0,582681.0,459891.0,579952.0,1039843.0,836865.0,343.81,75573.0,797369.0,796434.0,95.17,95.28
Muzaffarnagar,483993.0,390645.0,372649.0,501989.0,874638.0,812501.0,345.12,45259.0,721895.0,678130.0,83.46,88.85
Pratapgarh,1329686.0,57834.0,680453.0,707067.0,1387520.0,1293377.0,723.31,64189.0,921740.0,1192678.0,92.21,71.27
Rampur,465781.0,257167.0,340897.0,382051.0,722948.0,628747.0,262.61,42565.0,600403.0,599593.0,95.36,95.49
Saharanpur,707694.0,592399.0,585101.0,714992.0,1300093.0,1218367.0,336.29,118005.0,1011568.0,1040710.0,85.42,83.03
Sambhal,413968.0,253873.0,295153.0,372688.0,667841.0,606332.0,114.21,53109.0,505364.0,464983.0,76.69,83.35
Siddharth Nagar,857808.0,24439.0,358751.0,523496.0,882247.0,801577.0,250.07,109049.0,610715.0,622604.0,77.67,76.19
Sitapur,1246677.0,256049.0,693579.0,809147.0,1502726.0,1431429.0,462.11,109127.0,684596.0,1165641.0,81.43,47.83
Sultanpur,1152139.0,115971.0,605036.0,663074.0,1268110.0,1237968.0,681.44,46396.0,1064052.0,1128695.0,91.17,85.95
Unnao,757207.0,146933.0,410183.0,493957.0,904140.0,851971.0,448.07,85028.0,703455.0,723837.0,84.96,82.57
