District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,1138.0,73.0,1.0,17.0,1229.0,22.76
Aligarh,1049.0,71.0,1.0,15.0,1136.0,20.98
Ambedkar Nagar,232.0,27.0,8.0,267.0,4.64,
Azamgarh,309.0,33.0,1.0,3.0,346.0,6.18
Baghpat,212.0,6.0,1.0,2.0,221.0,4.24
Ballia,297.0,11.0,2.0,310.0,5.94,
Banda,227.0,32.0,1.0,2.0,262.0,4.54
Bareilly,1339.0,97.0,5.0,30.0,1471.0,26.78
Bijnor,578.0,25.0,3.0,11.0,617.0,11.56
Budaun,455.0,21.0,3.0,10.0,489.0,9.1
Bulandshahr,534.0,48.0,10.0,16.0,608.0,10.68
Chandauli,191.0,9.0,5.0,205.0,3.82,
Etah,709.0,63.0,1.0,773.0,14.18,
Etawah,160.0,10.0,2.0,2.0,174.0,3.2
Farrukhabad,625.0,50.0,1.0,1.0,677.0,12.5
Fatehpur,371.0,28.0,4.0,6.0,409.0,7.42
Gautam Buddha Nagar,424.0,15.0,1.0,13.0,453.0,8.48
Ghaziabad,973.0,28.0,4.0,20.0,1025.0,19.46
Gonda,298.0,40.0,1.0,339.0,5.96,
Gorakhpur,524.0,26.0,5.0,555.0,10.48,
Hardoi,609.0,59.0,2.0,670.0,12.18,
Jalaun,224.0,23.0,247.0,4.48,,
Jaunpur,340.0,19.0,7.0,366.0,6.8,
Jhansi,252.0,9.0,5.0,5.0,271.0,5.04
Kannauj,261.0,34.0,3.0,298.0,5.22,
Kanpur Dehat,238.0,22.0,5.0,265.0,4.76,
Kanpur Nagar,857.0,47.0,4.0,20.0,928.0,17.14
Kaushambi,146.0,13.0,2.0,2.0,163.0,2.92
Kheri,926.0,92.0,4.0,16.0,1038.0,18.52
Kushi Nagar,212.0,9.0,3.0,224.0,4.24,
Lucknow,1360.0,48.0,4.0,24.0,1436.0,27.2
Mahoba,181.0,24.0,2.0,207.0,3.62,
Mathura,477.0,22.0,1.0,5.0,505.0,9.54
Mau,181.0,7.0,1.0,4.0,193.0,3.62
Meerut,1024.0,42.0,3.0,14.0,1083.0,20.48
Moradabad,1286.0,43.0,5.0,11.0,1345.0,25.72
Muzaffarnagar,654.0,37.0,1.0,88.0,780.0,13.08
Pilibhit,454.0,38.0,1.0,12.0,505.0,9.08
Pratapgarh,550.0,41.0,2.0,23.0,616.0,11.0
Prayagraj,903.0,75.0,3.0,6.0,987.0,18.06
Rae Bareli,694.0,42.0,1.0,13.0,750.0,13.88
Rampur,661.0,37.0,2.0,6.0,706.0,13.22
Sambhal,532.0,41.0,2.0,575.0,10.64,
Sant Kabeer Nagar,68.0,2.0,70.0,1.36,,
Shahjahanpur,701.0,73.0,2.0,13.0,789.0,14.02
Siddharth Nagar,81.0,3.0,1.0,85.0,1.62,
Sitapur,624.0,72.0,1.0,9.0,706.0,12.48
Sonbhadra,210.0,33.0,3.0,246.0,4.2,
Sultanpur,482.0,44.0,14.0,540.0,9.64,
Unnao,548.0,44.0,4.0,596.0,10.96,
Varanasi,534.0,24.0,8.0,566.0,10.68,
