District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
Eastern West Khasi Hills,5,18,428.21,114,107.59,17,163.59,16
East Garo Hills,26.95,102,646.29,224,234.82,92,244.82,64
East Jaintia Hills,3.23,12,627.26,136,316.53,61,276.86,43
East Khasi Hills,15.68,540,7929.84,1659,1826.52,339,2223.7,306
North Garo Hills,23.35,93,604.16,223,181.77,73,93.45,24
Ri Bhoi,12.64,151,1683.05,543,365.77,161,362.28,96
South Garo Hills,29.32,128,682.41,219,268.19,61,199.3,24
South West Garo Hills,36.63,122,719.43,261,181.3,49,87.79,15
South West Khasi Hills,8.42,26,412.11,143,39.66,23,36.3,12
West Garo Hills,22.54,291,3466.5,884,1360.07,283,1117.57,205
West Jaintia Hills,8.32,105,2756.35,689,904.52,235,672.47,134
West Khasi Hills,31.78,130,592.53,232,80.73,37,116.71,16
