District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,1474.89,697,6.47,1,2.4,1,6.48,11,15.12,2,739.93,256,704.49,426
East Jaintia Hills,9020.03,4099,121.2,3,0,0,66.17,3,2.28,2,1096.36,203,7734.02,3888
East Khasi Hills,140340.77,58122,261.72,32,0,0,2593.08,800,1138.98,216,9767.1,2004,126579.89,55070
North Garo Hills,930.94,490,0,0,0,0,0,0,0.97,1,222.88,47,707.09,442
Ri Bhoi,41049.63,18670,253.67,19,1.39,1,2187.13,38,193.39,36,21352.38,2354,17061.67,16222
South Garo Hills,738.67,523,0,0,0,0,0,0,0,0,49.52,10,689.15,513
West Garo Hills,24371.31,12953,4.49,2,0,0,65.28,18,32.98,14,11048.02,4046,13220.54,8873
West Jaintia Hills,44173.34,8984,3.06,2,0,0,12.41,8,21975.39,2,328.24,119,21854.24,8853
West Khasi Hills,10322.05,7017,0,0,0,0,14.89,7,10.76,7,381.9,200,9914.5,6803
