District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,1.51,12,121.03,113,147.06,86,127.51,758,127.82,73,127.5,755
East Jaintia Hills,0.48,7,1795.44,1099,384.5,213,2.63,87,254,147,1.03,50
East Khasi Hills,0.67,27,3424.73,2412,938.96,530,232.02,701,586.03,300,225.21,578
North Garo Hills,6.19,14,214.28,165,262.69,207,148.1,1118,199.53,152,148.08,1116
Ri Bhoi,3.41,87,2153.56,1743,373.16,180,156.36,450,236.32,105,150.79,359
South Garo Hills,5.86,51,156.6,197,22.72,30,238.96,731,11.22,17,238.68,723
West Garo Hills,2.89,139,1979.04,1549,768.99,385,453.13,1720,534.57,272,447.26,1630
West Jaintia Hills,0.63,14,2321.43,1498,624,269,169.48,196,470.03,205,141.03,127
West Khasi Hills,0.81,34,1941.76,1010,457.51,173,3.79,59,208.37,87,5.45,42
