District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
Eastern West Khasi Hills,49993.74,36215,9757.98,5190,4631.73,1221,2075.27,355
East Garo Hills,6881.67,4129,763.84,314,123.15,35,47.38,11
East Jaintia Hills,26532.1,14271,564429.71,1809,428.72,144,174.11,31
East Khasi Hills,619457.61,159942,12079252.51,24961,12235.56,5162,3820.74,1140
North Garo Hills,45418.43,15053,52855.41,2561,6077.8,1117,437.83,139
Ri Bhoi,36514.12,31182,1543778.38,4227,4847.33,1151,1102.64,190
South Garo Hills,4262.42,3635,488.6,267,79.77,21,37.49,9
South West Garo Hills,8400.21,6269,1113.94,607,272.38,82,112.9,15
South West Khasi Hills,5616.34,3935,978.53,831,39.79,6,7.6,2
West Garo Hills,28591.29,15730,2756455.66,1627,1272.28,999,292.11,88
West Jaintia Hills,73808.61,26380,631347.79,3454,3526.02,1111,866.31,219
West Khasi Hills,19834.35,13719,3461.47,2076,297.92,64,116,14
