District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
Eastern West Khasi Hills,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
East Garo Hills,1,4.01,38,14.67
East Jaintia Hills,74,166.57,328,435.15
East Khasi Hills,0,0,3,3.15
North Garo Hills,28,56.33,16945,4990.74
Ri Bhoi,0,0,87,93.54
South Garo Hills,539,202.7,3120,774.72
South West Garo Hills,0,0,21,6.89
South West Khasi Hills,50,116.59,285,241.08
West Garo Hills,1,1,4,1.93
West Jaintia Hills,1064,836.52,4752,2192.61
West Khasi Hills,23,51.11,334,290.34
