District,Total Msme O/S Amt,Total Msme O/S No.,Other Msme Amt,Other Msme No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
Eastern West Khasi Hills,3282,1477,42.39,87,0,0,322.83,16,2916.78,1374
East Garo Hills,3837.67,2054,87.74,208,0,0,297.79,30,3452.14,1816
East Jaintia Hills,13978.86,2080,30.17,52,0,0,2799.17,217,11149.52,1811
East Khasi Hills,273301.05,32019,317.53,170,85767.25,920,57861.18,1202,129355.09,29727
North Garo Hills,2819.23,1757,18.57,8,4.65,1,161.24,51,2634.77,1697
Ri Bhoi,72477.83,5271,523.51,188,26871.48,269,12010.11,564,33072.73,4250
South Garo Hills,1862.75,1080,41.64,13,0,0,81.91,62,1739.2,1005
South West Garo Hills,3416.36,1382,14.26,9,0,0,417.14,39,2984.96,1334
South West Khasi Hills,2054.48,932,2.91,1,0,0,33.83,15,2017.74,916
West Garo Hills,23631.79,7980,230.08,238,210.79,4,2952.53,407,20238.39,7331
West Jaintia Hills,23494.28,6194,89.09,141,0,0,5344.71,507,18060.48,5546
West Khasi Hills,4735,2069,70.56,106,0,0,159.63,25,4504.81,1938
