District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
Eastern West Khasi Hills,6558,7790.68,933,1439.02
East Garo Hills,6173,11020.62,1208,2293.55
East Jaintia Hills,2761,7982.74,680,1714.83
East Khasi Hills,80641,215322.32,21019,110928.78
North Garo Hills,3572,7669.72,865,1712.3
Ri Bhoi,28875,49003.49,5813,9133.57
South Garo Hills,1578,5136.25,341,786.84
South West Garo Hills,4181,6618.96,745,1423.01
South West Khasi Hills,2632,4625.71,554,961.04
West Garo Hills,22013,47541.58,4402,9570.33
West Jaintia Hills,11388,23844.19,2292,12617.18
West Khasi Hills,5935,8835.97,1068,1567.13
